page,n_orden,provincia,departamento,localidad,footnote,total,varones,mujeres
v3_p10,291,Buenos Aires,25 de Mayo,Gobernador Ugarte,,1182,640,542
v3_p10,425,Buenos Aires,Mercedes,Goldney,,683,364,319
v3_p10,637,Buenos Aires,Brandsen,Gómez,,357,180,177
v3_p10,885,Buenos Aires,Brandsen,Gómez de la Vega,,131,75,56
v3_p10,756,Buenos Aires,General Villegas,Gondra,,246,136,110
v3_p10,93,Buenos Aires,González Chaves,González Chaves,,5774,2818,2956
v3_p10,275,Buenos Aires,Rivadavia,González Moreno,,1298,709,589
v3_p10,886,Buenos Aires,Navarro,González Risos,,130,73,57
v3_p10,348,Buenos Aires,General Belgrano,Gorchs,,915,499,416
v3_p10,388,Buenos Aires,Chivilcoy,Gorostiaga,,772,416,356
v3_p10,510,Buenos Aires,Carmen de Areco,Gouin,,531,306,225
v3_p10,340,Buenos Aires,Mercedes,Gowland,,944,643,301
v3_p10,344,Buenos Aires,Saavedra,Goyena,,930,459,471
v3_p10,861,Buenos Aires,Pellegrini,Graciarena,,157,96,61
v3_p10,876,Buenos Aires,Chacabuco,Gregorio Villafañe,,142,79,63
v3_p10,326,Buenos Aires,Bahía Blanca,Grumbein,,1003,546,457
v3_p10,194,Buenos Aires,Guaminí,Guaminí,,1959,989,970
v3_p10,400,Buenos Aires,Pehuajó,Guanaco,,738,433,305
v3_p10,165,La Pampa,Guatraché,Guatraché,,2674,1355,1319
v3_p10,79,Buenos Aires,San Vicente,Guernica,,7423,3769,3654
v3_p10,331,Buenos Aires,Pergamino,Guerrico,,990,522,468
v3_p10,724,Buenos Aires,Rojas,Guido Spano,,269,146,123
v3_p10,678,Buenos Aires,General Pinto,Gunther,,317,164,153
v3_p10,375,Buenos Aires,Bolívar,Hale,,819,453,366
v3_p10,111,Buenos Aires,Hipólito Yrigoyen,Henderson,,4620,2302,2318
v3_p10,529,Buenos Aires,Chivilcoy,Henry Bell,,498,264,234
v3_p10,613,Buenos Aires,Carlos Tejedor,Hereford,,374,238,136
v3_p10,585,Buenos Aires,Hipólito Yrigoyen,Herrera Vegas,,404,233,171
v3_p10,247,Buenos Aires,Villarino,Hilario Ascasubi,,1431,810,621
v3_p10,156,Buenos Aires,Olavarría,Hinojo,,2910,1456,1454
v3_p10,461,Buenos Aires,Carlos Casares,Hortensia,,612,330,282
v3_p10,119,Buenos Aires,Coronel Suárez,Huanguelén,,4022,2042,1980
v3_p10,655,La Pampa,Hucal,Hucal,,341,198,143
v3_p10,850,La Pampa,Quemú-Quemú,Huelén,,164,89,75
v3_p10,595,Buenos Aires,25 de Mayo,Huetel,,393,236,157
v3_p10,578,Buenos Aires,Rojas,Hunter,,416,239,177
v3_p10,851,Buenos Aires,Carlos Tejedor,Húsares,,164,90,74
v3_p11,875,Buenos Aires,General Belgrano,Ibáñez,,143,84,59
v3_p11,811,Buenos Aires,Patagones,Igarzábal,,200,113,87
v3_p11,568,Buenos Aires,Chivilcoy,Indacochea,,431,245,186
v3_p11,196,Buenos Aires,Coronel Pringles,Indio Rico,,1951,1045,906
v3_p11,259,Buenos Aires,Salto,Inés Indart,,1378,753,625
v3_p11,401,Buenos Aires,General Pinto,Ingeniero Balbín,,728,400,328
v3_p11,714,La Pampa,Rancul,Ingeniero Foster,,280,163,117
v3_p11,190,La Pampa,Realicó,Ingeniero Luiggi,,2016,1000,1016
v3_p11,118,Buenos Aires,Escobar,Ingeniero Maschwitz,,4029,2019,2010
v3_p11,547,Buenos Aires,San Pedro,Ingeniero Moneta,,474,272,202
v3_p11,650,Buenos Aires,Chacabuco,Ingeniero Silveyra,,344,224,120
v3_p11,422,Buenos Aires,Pellegrini,Ingeniero Thompson,,688,380,308
v3_p11,91,Buenos Aires,Bahía Blanca,Ingeniero White,,6089,3141,2948
v3_p11,582,Buenos Aires,Navarro,Ingeniero Williams,,408,237,171
v3_p11,626,Buenos Aires,Pehuajó,Inocencio Sosa,,368,226,142
v3_p11,133,La Pampa,Chapaleufú,Intendente Alvear,,3385,1739,1646
v3_p11,690,Buenos Aires,General Alvarado,Iraizoz,,305,206,99
v3_p11,307,Buenos Aires,Bragado,Irala,,1112,631,451
v3_p11,412,Buenos Aires,Tandil,Iraola,,707,435,272
v3_p11,454,Buenos Aires,Coronel Dorrego,Irene,,627,365,262
v3_p11,466,Buenos Aires,Baradero,Ireneo Portela,,592,323,269
v3_p11,405,Buenos Aires,General Pinto,Iriarte,,719,383,336
v3_p11,217,Buenos Aires,,Isla Martín García,2,1712,1550,162
v3_p11,472,Buenos Aires,25 de Mayo,Islas,,581,338,243
v3_p11,725,La Pampa,Catriló,Ivanowsky,,268,155,113
v3_p11,184,La Pampa,Hucal,Jacinto Aráuz,,2126,1139,987
v3_p11,147,Buenos Aires,Luján,Jáuregui,,3113,1617,1496
v3_p11,273,Buenos Aires,Brandsen,Jeppener,,1302,692,610
v3_p11,193,Buenos Aires,Coronel Dorrego,José A. Guisasola,,1967,1011,956
v3_p11,415,Buenos Aires,Patagones,José B. Casas,,704,383,321
v3_p11,614,Buenos Aires,Magdalena,José Ferrari,,373,224,149
v3_p11,113,Buenos Aires,Pellegrini,José M. Blanco,,4251,2115,2136
v3_p11,642,Buenos Aires,General Alvear,José M. Micheo,,352,199,153
v3_p11,617,Buenos Aires,Lobos,José Santos Arévalo,,372,212,160
v3_p11,444,Buenos Aires,Pergamino,Juan A. de la Peña,,644,347,297
v3_p11,244,Buenos Aires,Patagones,Juan A. Pradere,,1453,768,685
v3_p11,158,Buenos Aires,Leandro N. Alem,Juan B. Alberdi,,2873,1482,1391
v3_p11,500,Buenos Aires,Saladillo,Juan Blaquier,,547,314,233
v3_p11,604,Buenos Aires,General J. Madariaga,Juancho,,384,246,138
v3_p11,404,Buenos Aires,González Chaves,Juan E. Barra,,720,386,334
v3_p11,332,Buenos Aires,Bolívar,Juan F. Ibarra,,985,557,428
v3_p12,418,Buenos Aires,Navarro,Juan J. Almeyra,,696,374,322
v3_p12,136,Buenos Aires,Necochea,Juan N. Fernández,,3326,1723,1603
v3_p12,64,Buenos Aires,Juárez,Juárez,,9535,4611,4924
v3_p12,588,Buenos Aires,Magdalena,Julio Arditi,,402,220,182
v3_p12,21,Buenos Aires,Junín,Junín,,53489,25800,27689
v3_p12,907,Buenos Aires,Carmen de Areco,Kenny,,103,67,36
v3_p12,820,Buenos Aires,San Andrés de Giles,Kilómetro 125,,192,106,86
v3_p12,532,Buenos Aires,San Pedro,Kilómetro 158,,495,257,238
v3_p12,815,Buenos Aires,Coronel Pringles,Krabbe,,197,122,75
v3_p12,438,Buenos Aires,General Arenales,La Angelita,,657,372,285
v3_p12,281,Buenos Aires,General Guido,Labardén,,1246,639,607
v3_p12,294,Buenos Aires,Saladillo,La Barrancosa,,1174,641,533
v3_p12,555,Buenos Aires,Rojas,La Beba,,459,292,167
v3_p12,627,Buenos Aires,Trenque Lauquen,La Carreta,,366,182,184
v3_p12,499,Buenos Aires,General Lamadrid,La Colina,,550,286,264
v3_p12,822,Buenos Aires,Ayacucho,La Constancia,,191,100,91
v3_p12,898,Buenos Aires,General Las Heras,La Choza,,119,66,53
v3_p12,572,Buenos Aires,General Viamonte,La Delfina,,425,241,184
v3_p12,672,Buenos Aires,Carlos Casares,La Dorita,,322,183,139
v3_p12,222,Buenos Aires,Necochea,La Dulce,,1662,877,785
v3_p12,125,Buenos Aires,San Nicolás,La Emilia,,3632,1817,1815
v3_p12,654,La Pampa,Catriló,La Gloria,,343,221,122
v3_p12,426,Buenos Aires,Adolfo Alsina,Lago Epecuén,,682,412,270
v3_p12,309,Buenos Aires,Guaminí,Laguna Alsina,,1103,562,541
v3_p12,430,Buenos Aires,Salto,La Invencible,,672,381,291
v3_p12,781,La Pampa,Cura-Co,La Japonesa,,225,124,101
v3_p12,482,La Pampa,Caseros,La Larga,,570,327,243
v3_p12,445,Buenos Aires,Bragado,La Limpia,,640,346,294
v3_p12,870,Buenos Aires,Bartolomé Mitre,La Luisa,,149,75,74
v3_p12,638,Buenos Aires,Caseros,La Manuela,,356,196,160
v3_p12,320,La Pampa,Rancul,La Maruja,,1022,539,483
v3_p12,1,Buenos Aires,La Matanza,La Matanza,1,401738,203947,197791
v3_p12,610,Buenos Aires,Necochea,La Negra,,378,211,167
v3_p12,728,Buenos Aires,Guaminí,La Nevada,,266,163,103
v3_p12,831,Buenos Aires,Ayacucho,Langueyú,,182,118,64
v3_p12,253,Buenos Aires,9 de Julio,La Niña,,1423,795,628
v3_p12,620,Buenos Aires,Cañuelas,La Noria,,371,213,158
v3_p12,373,Buenos Aires,Pehuajó,La Nueva Plata,,825,469,356
v3_p12,2,Buenos Aires,Lanús,Lanús,1,375428,186877,188551
v3_p12,441,Buenos Aires,Junín,La Oriental,,646,356,290
v3_p12,763,Buenos Aires,Tandil,La Pastora,,236,141,
v3_p13,557,La Pampa,Chalileo,La Pastoril,,458,270,188
v3_p13,608,Buenos Aires,Roque Pérez,La Paz Chica,,380,197,183
v3_p13,796,Buenos Aires,General Arenales,La Pinta,,211,117,94
v3_p13,437,Buenos Aires,Junín,Laplacette,,658,403,255
v3_p13,4,Buenos Aires,La Plata,La Plata,,337060,165749,171311
v3_p13,593,Buenos Aires,Trenque Lauquen,La Porteña,,398,228,170
v3_p13,92,Buenos Aires,Laprida,Laprida,,5816,2822,2994
v3_p13,797,Buenos Aires,Coronel Suárez,La Primavera,,211,127,84
v3_p13,753,Buenos Aires,Olavarría,La Providencia,,248,148,100
v3_p13,749,Buenos Aires,Roque Pérez,La Reforma,,250,160,90
v3_p13,270,Buenos Aires,Chivilcoy,La Rica,,1324,745,579
v3_p13,736,Buenos Aires,Alberti,Larrea,,261,147,114
v3_p13,790,Buenos Aires,Coronel Pringles,Lartigau,,216,133,83
v3_p13,740,Buenos Aires,Maipú,Las Armas,,258,161,97
v3_p13,284,Buenos Aires,Lobos,Las Chacras,,1229,630,599
v3_p13,51,Buenos Aires,Las Flores,Las Flores,,14838,6959,7879
v3_p13,743,Buenos Aires,Laprida,Las Hermanas,,256,151,105
v3_p13,847,Buenos Aires,Pehuajó,Las Juanitas,,166,104,62
v3_p13,223,Buenos Aires,Navarro,Las Marianas,,1643,869,774
v3_p13,362,Buenos Aires,General Lamadrid,Las Martinetas,,857,451,406
v3_p13,645,Buenos Aires,Coronel Pringles,Las Mostazas,,347,227,120
v3_p13,429,Buenos Aires,Lobería,Las Nutrias,,673,449,224
v3_p13,657,Buenos Aires,Carlos Casares,La Sofía,,339,193,146
v3_p13,667,Buenos Aires,Tres Arroyos,La Sortija,,325,209,116
v3_p13,720,Buenos Aires,Zárate,Las Palmas,,273,160,113
v3_p13,854,Buenos Aires,Junín,Las Parvas,,162,92,70
v3_p13,798,Buenos Aires,Magdalena,Las Tahonas,,211,129,82
v3_p13,490,Buenos Aires,Lincoln,Las Toscas,,562,351,211
v3_p13,881,Buenos Aires,General Lamadrid,Lastra,,137,80,57
v3_p13,891,Buenos Aires,Tres Arroyos,Las Vaquerías,,125,75,50
v3_p13,734,Buenos Aires,General Arenales,La Trinidad,,263,219,44
v3_p13,268,Buenos Aires,Pergamino,La Violeta,,1338,690,648
v3_p13,805,Buenos Aires,Bahía Blanca,La Vitícola,,207,148,59
v3_p13,707,Buenos Aires,Trenque Lauquen,La Zanja,,286,173,113
v3_p13,836,Buenos Aires,Azul,Lazzarino,,176,101,75
v3_p13,175,Buenos Aires,Leandro N. Alem,Leandro N. Alem,,2419,1261,1158
v3_p13,894,Buenos Aires,Trenque Lauquen,Lertora,,124,86,38
v3_p13,563,Buenos Aires,Adolfo Alsina,Leubuco,,448,267,181
v3_p13,148,Buenos Aires,Chascomús,Lezama,,3097,1541,1556
v3_p13,321,Buenos Aires,General Lamadrid,Líbano,,1022,589,433
v3_p13,526,Buenos Aires,Chascomús,Libres del Sud,,505,304,201
v3_p14,787,Buenos Aires,Lobería,Licenciado Matienzo,,219,133,86
v3_p14,596,Buenos Aires,Zárate,Lima,,393,220,173
v3_p14,363,La Pampa,Limay-Mahuída,Limay-Mahuída,,855,498,357
v3_p14,598,Buenos Aires,Tres Arroyos,Lia Calel,,392,213,179
v3_p14,50,Buenos Aires,Lincoln,Lincoln,,15477,7275,8202
v3_p14,71,Buenos Aires,Lobería,Lobería,,8455,4159,4296
v3_p14,59,Buenos Aires,Lobos,Lobos,,10352,4814,5538
v3_p14,673,Buenos Aires,Olavarría,Loma Negra,,322,198,124
v3_p14,337,Buenos Aires,General Paz,Loma Verde,,959,506,453
v3_p14,8,Buenos Aires,Lomas de Zamora,Lomas de Zamora,1,272116,132169,139947
v3_p14,249,La Pampa,Catriló,Lonquimay,,1427,756,671
v3_p14,464,Buenos Aires,Juárez,López,,604,368,236
v3_p14,674,Buenos Aires,Puán,López Lecube,,321,193,128
v3_p14,630,Buenos Aires,Chacabuco,Los Angeles,,364,212,152
v3_p14,225,Buenos Aires,Exaltación de la Cruz,Los Cardales,,1628,831,797
v3_p14,691,Buenos Aires,Rojas,Los Indios,,305,173,132
v3_p14,662,Buenos Aires,General Villegas,Los Laureles,,331,186,145
v3_p14,211,Buenos Aires,Balcarce,Los Pinos,,1813,1039,774
v3_p14,791,La Pampa,Leventué,Loventuel,,215,118,97
v3_p14,518,Buenos Aires,General Las Heras,Lozano,,514,288,226
v3_p14,342,La Pampa,Leventué,Luan Toro,,918,520,418
v3_p14,601,Buenos Aires,25 de Mayo,Lucas Monteverde,,387,215,172
v3_p14,34,Buenos Aires,Luján,Luján,,28976,13958,15018
v3_p14,804,Buenos Aires,San Cayetano,Lumb,,208,122,86
v3_p14,205,La Pampa,Atreucó,Macachín,,1866,992,874
v3_p14,599,Buenos Aires,General J. Madariaga,Macedo,,389,251,138
v3_p14,423,Buenos Aires,Pehuajó,Magdala,,685,348,337
v3_p14,107,Buenos Aires,Magdalena,Magdalena,,4989,2343,2646
v3_p14,785,Buenos Aires,Pergamino,Maguirre,,221,128,93
v3_p14,88,Buenos Aires,Maipú,Maipú,,6239,2984,3255
v3_p14,462,Buenos Aires,25 de Mayo,Mamaguita,,508,342,266
v3_p14,545,Buenos Aires,Mercedes,Manuel J. García,,478,270,208
v3_p14,220,Buenos Aires,Pergamino,Manuel Ocampo,,1676,850,826
v3_p14,505,Buenos Aires,Pilar,Manzanares,,541,291,250
v3_p14,888,Buenos Aires,Pilar,Manzone,,129,61,68
v3_p14,770,Buenos Aires,Olavarría,Mapis,,231,133,98
v3_p14,74,Buenos Aires,Marcos Paz,Marcos Paz,,7697,3824,3873
v3_p14,460,Buenos Aires,General Lavalle,Mar de Ajó,,613,329,284
v3_p14,11,Buenos Aires,General Pueyrredón,Mar del Plata,,211365,104161,107204
v3_p14,153,Buenos Aires,Tandil,María Ignacia,,3023,1559,1464
v3_p14,597,Buenos Aires,Hipólito Yrigoyen,María Lucila,,393,244,149
v3_p15,485,Buenos Aires,Pergamino,Mariano Benítez,,569,302,267
v3_p15,266,Buenos Aires,Pergamino,Mariano M. Alfonso,,1353,753,600
v3_p15,571,Buenos Aires,Juárez,Mariano Roldán,,426,259,167
v3_p15,573,Buenos Aires,Trenque Lauquen,Mari Lauquen,,425,278,147
v3_p15,716,Buenos Aires,25 de Mayo,Martín Berraondo,,276,149,127
v3_p15,248,Buenos Aires,Lincoln,Martínez de Hoz,,1428,762,666
v3_p15,772,Buenos Aires,Azul,Martín Fierro,,229,143,86
v3_p15,154,Buenos Aires,Escobar,Matheu,,2993,1540,1453
v3_p15,467,Buenos Aires,Carlos Casares,Mauricio Hirsch,,590,313,277
v3_p15,379,La Pampa,Conhello,Mauricio Mayer,,802,431,371
v3_p15,527,Buenos Aires,Bragado,Máximo Fernández,,505,297,208
v3_p15,358,Buenos Aires,Cañuelas,Máximo Paz,,866,456,410
v3_p15,159,Buenos Aires,Villarino,Mayor Buratovich,,2872,1630,1242
v3_p15,227,Buenos Aires,Adolfo Alsina,Maza,,1609,858,751
v3_p15,551,Buenos Aires,Rauch,M. Colman,,464,249,215
v3_p15,568,Buenos Aires,Alberti,Mechita,,456,232,224
v3_p15,189,Buenos Aires,Bragado,Mechita,,2042,1043,999
v3_p15,212,Buenos Aires,General Alvarado,Mechongué,,1801,1092,709
v3_p15,140,Buenos Aires,Villarino,Médanos,,3200,1623,1577
v3_p15,656,Buenos Aires,Chacabuco,Membrillar,,341,178,163
v3_p15,36,Buenos Aires,Mercedes,Mercedes,,25778,12348,13430
v3_p15,16,Buenos Aires,Merlo,Merlo,1,100146,51076,49070
v3_p15,580,La Pampa,Trenel,Metileo,,409,236,173
v3_p15,183,Buenos Aires,Tres Arroyos,Micaela Cascallares,,2156,1212,944
v3_p15,283,La Pampa,Quemú-Quemú,Miguel Cané,,1235,659,576
v3_p15,265,La Pampa,Atreucó,Miguel Riglos,,1360,750,610
v3_p15,658,Buenos Aires,Azul,Miramonte,,337,175,162
v3_p15,440,Buenos Aires,Rauch,Miranda,,647,342,305
v3_p15,889,Buenos Aires,Rivadavia,Mira Pampa,,129,66,63
v3_p15,365,Buenos Aires,Carlos Casares,Moctezuma,,852,458,394
v3_p15,292,Buenos Aires,Navarro,Moll,,1175,643,532
v3_p15,688,Buenos Aires,Chascomús,Monasterio,,307,174,133
v3_p15,250,Buenos Aires,Pehuajó,Mones Cazón,,1426,751,675
v3_p15,829,Buenos Aires,Salto,Monroe,,183,110,73
v3_p15,730,Buenos Aires,Maipú,Monsalvo,,265,160,105
v3_p15,289,Buenos Aires,Coronel Dorrego,Monte Hermoso,,1198,661,537
v3_p15,715,La Pampa,Conhello,Monte Nievas,,279,179,100
v3_p15,837,Buenos Aires,General Villegas,Moores,,176,103,73
v3_p15,203,Buenos Aires,Chivilcoy,Moquehuá,,1875,957,918
v3_p15,334,Buenos Aires,9 de Julio,Morea,,970,496,474
v3_p15,20,Buenos Aires,Moreno,Moreno,1,59338,30445,28893
v3_p16,3,Buenos Aires,Morón,Morón,1,341920,170888,171032
v3_p16,276,Buenos Aires,Junín,Morse,,1277,667,610
v3_p16,316,Buenos Aires,25 de Mayo,Mosconi,,1050,606,444
v3_p16,883,Buenos Aires,9 de Julio,Mulcahy,,132,83,49
v3_p16,878,Buenos Aires,Olavarría,Muñoz,,138,85,53
v3_p16,590,Buenos Aires,Mar Chiquita,Nahuel Ruca,,400,246,154
v3_p16,514,La Pampa,Toay,Naicó,,523,311,212
v3_p16,519,Buenos Aires,Balcarce,Napaleofú,,514,321,193
v3_p16,793,Buenos Aires,Bahía Blanca,Napostá,,212,122,90
v3_p16,98,Buenos Aires,Navarro,Navarro,,5431,2528,2903
v3_p16,33,Buenos Aires,Necochea,Necochea,,29319,14336,14983
v3_p16,884,Buenos Aires,Carlos Tejedor,Necol,,132,70,62
v3_p16,859,Buenos Aires,General Belgrano,Newton,,158,91,67
v3_p16,450,Buenos Aires,Coronel Dorrego,Nicolás Descalzi,,629,378,251
v3_p16,755,Buenos Aires,Villarino,Nicolás Levalle,,247,151,96
v3_p16,741,Buenos Aires,Azul,Nieves,,257,144,113
v3_p16,128,Buenos Aires,25 de Mayo,Norberto de la Riestra,,3582,1797,1785
v3_p16,581,Buenos Aires,9 de Julio,Norumbega,,409,235,174
v3_p16,44,Buenos Aires,9 de Julio,9 de Julio,,17768,8594,9174
v3_p16,432,Buenos Aires,San Cayetano,Ochandio,,667,393,274
v3_p16,240,Buenos Aires,Chacabuco,O'Higgins,,1490,791,699
v3_p16,759,La Pampa,Realicó,Ojeda,,243,145,98
v3_p16,355,Buenos Aires,Bragado,Olascoaga,,874,487,387
v3_p16,29,Buenos Aires,Olavarría,Olavarría,,35107,17088,18019
v3_p16,544,Buenos Aires,Brandsen,Oliden,,482,288,194
v3_p16,428,Buenos Aires,Luján,Olivera,,674,368,306
v3_p16,664,Buenos Aires,Villarino,Ombucta,,329,201,128
v3_p16,251,Buenos Aires,Luján,Open Door,,1426,768,658
v3_p16,399,Buenos Aires,Carlos Casares,Ordoqui,,739,419,320
v3_p16,160,Buenos Aires,Tres Arroyos,Orense,,2841,1461,1380
v3_p16,180,Buenos Aires,Coronel Dorrego,Oriente,,2357,1223,1134
v3_p16,476,Buenos Aires,Pergamino,Ortiz Basualdo,,577,340,237
v3_p16,671,Buenos Aires,25 de Mayo,Ortiz de Rozas,,323,182,142
v3_p16,290,Buenos Aires,Campana,Otamendi,,1190,666,524
v3_p16,692,Buenos Aires,Azul,Pablo Acosta,,303,179,124
v3_p16,732,Buenos Aires,Alberti,Palantelén,,264,144,120
v3_p16,368,Buenos Aires,Chivilcoy,Palemón Huergo,,845,466,379
v3_p16,717,Buenos Aires,Laprida,Paraguil,,276,168,108
v3_p16,312,Buenos Aires,Las Flores,Pardo,,1140,619,521
v3_p16,311,La Pampa,Rancul,Parera,,1091,589,502
v3_p16,474,Buenos Aires,Azul,Parish,,578,340,238
v3_p17,508,Buenos Aires,Coronel Suárez,Pasman,,536,287,249
v3_p17,843,Buenos Aires,Cnel. de Mar. L.N.Rosales,Paso Mayer,,170,118,52
v3_p17,873,Buenos Aires,General Pinto,Pasteur,,147,82,65
v3_p17,192,Buenos Aires,Lincoln,Pasteur,,1979,1037,942
v3_p17,201,Buenos Aires,9 de Julio,Patricios,,1902,989,913
v3_p17,566,Buenos Aires,Bolívar,Paula,,437,233,204
v3_p17,455,Buenos Aires,Exaltación de la Cruz,Pavón,,627,368,259
v3_p17,789,Buenos Aires,Colón,Pearson,,217,117,100
v3_p17,202,Buenos Aires,25 de Mayo,Pedernales,,1902,964,938
v3_p17,892,Buenos Aires,Pehuajó,Pedro Gamen,,125,83,42
v3_p17,157,Buenos Aires,Villarino,Pedro Luro,,2882,1578,1304
v3_p17,792,Buenos Aires,Chascomús,Pedro Nicolás Escribano,,215,132,83
v3_p17,668,Buenos Aires,González Chaves,Pedro P. Lasalle,,325,194,131
v3_p17,46,Buenos Aires,Pehuajó,Pehuajó,,16947,8171,8776
v3_p17,906,Buenos Aires,Pellegrini,Pehuelches,,104,56,48
v3_p17,882,Buenos Aires,Cnel. de Mar. L.N.Rosales,Pehuenco,,134,83,51
v3_p17,744,Buenos Aires,Tornquist,Pelicura,,256,157,99
v3_p17,207,Buenos Aires,Ramallo,Pérez Millán,,1860,980,880
v3_p17,26,Buenos Aires,Pergamino,Pergamino,,41612,19959,21653
v3_p17,562,La Pampa,Guatraché,Perú,,449,281,168
v3_p17,602,La Pampa,Rancul,Pichi-Huinca,,386,211,175
v3_p17,442,Buenos Aires,General Villegas,Pichincha,,646,375,271
v3_p17,333,Buenos Aires,General Villegas,Piedritas,,973,493,480
v3_p17,419,Buenos Aires,Lobería,Pieres,,695,447,248
v3_p17,75,Buenos Aires,Saavedra,Pigüé,,7645,3752,3893
v3_p17,351,Buenos Aires,Pila,Pila,,906,439,467
v3_p17,58,Buenos Aires,Pilar,Pilar,,10375,5226,5149
v3_p17,381,Buenos Aires,General Madariaga,Pinamar,,798,437,361
v3_p17,511,Buenos Aires,Pergamino,Pinzón,,526,281,245
v3_p17,605,Buenos Aires,Coronel Suárez,Piñeyro,,383,222,161
v3_p17,256,Buenos Aires,Magdalena,Pipinas,,1411,814,597
v3_p17,198,Buenos Aires,Bolívar,Pirovano,,1929,993,936
v3_p17,367,Buenos Aires,Alberti,Plá,,846,463,383
v3_p17,747,Buenos Aires,Las Flores,Plaza Montero,,251,147,104
v3_p17,777,Buenos Aires,General Las Heras,Plomer,,228,123,105
v3_p17,360,Buenos Aires,Saladillo,Polvaredas,,862,454,408
v3_p17,528,Buenos Aires,General Lamadrid,Pontaut,,502,281,221
v3_p17,567,Buenos Aires,General Pinto,Porvenir,,437,240,197
v3_p17,512,Buenos Aires,Olavarría,Pourtale,,526,303,223
v3_p17,738,Buenos Aires,General Pinto,Pozos Kanki,,260,149,111
v3_p17,841,Buenos Aires,General Villegas,Pradere,,171,96,75
v3_p18,104,Buenos Aires,Pilar,Presidente Derqui,,5068,2535,2533
v3_p18,809,Buenos Aires,Alberti,Presidente Quintana,,202,112,90
v3_p18,612,Buenos Aires,Trenque Lauquen,Primera Junta,,375,184,191
v3_p18,131,Buenos Aires,Puán,Puán,,3439,1702,1737
v3_p18,631,Buenos Aires,25 de Mayo,Pueblitos,,364,223,141
v3_p18,502,La Pampa,Cura-Có,Puelches,,544,274,270
v3_p18,126,Buenos Aires,Cnel. de Mar. L.N.Rosales,Puerto Belgrano,,3607,1962,1645
v3_p18,45,Buenos Aires,,Puerto de la Plata,2,17338,10587,6751
v3_p18,727,Buenos Aires,Pergamino,Pujol,,267,147,120
v3_p18,28,Buenos Aires,Cnel. de Mar. L.N.Rosales,Punta Alta,,35440,20076,15364
v3_p18,553,Buenos Aires,Magdalena,Punta Indio,,460,265,195
v3_p18,163,La Pampa,Quemú-Quemú,Quemú-Quemú,,2703,1376,1327
v3_p18,483,Buenos Aires,Pellegrini,Quenuma,,570,300,270
v3_p18,76,Buenos Aires,Lobería,Quequén,,7589,4019,3570
v3_p18,647,La Pampa,Rancul,Quetrequén,,346,175,171
v3_p18,6,Buenos Aires,Quilmes,Quilmes,1,317783,159409,158374
v3_p18,660,Buenos Aires,Coronel Suárez,Quiñihual,,336,243,93
v3_p18,832,Buenos Aires,General Viamonte,Quirno Costa,,182,104,78
v3_p18,200,Buenos Aires,9 de Julio,Quiroga,,1925,996,929
v3_p18,277,Buenos Aires,Rojas,Rafael Obligado,,1276,692,584
v3_p18,105,Buenos Aires,Ramallo,Ramallo,,5060,2616,2444
v3_p18,350,Buenos Aires,Chivilcoy,Ramón Biaus,,910,481,429
v3_p18,731,Buenos Aires,9 de Julio,Ramón J. Neild,,265,155,110
v3_p18,305,Buenos Aires,Necochea,Ramón Santamarina,,1124,569,555
v3_p18,416,Buenos Aires,Balcarce,Ramón Otero,,701,427,274
v3_p18,239,Buenos Aires,Pergamino,Rancagua,,1491,843,648
v3_p18,206,La Pampa,Rancul,Rancul,,1865,965,900
v3_p18,85,Buenos Aires,Rauch,Rauch,,6953,3301,3652
v3_p18,150,Buenos Aires,Chacabuco,Rawson,,3083,1626,1457
v3_p18,801,Buenos Aires,Pila,Real Audiencia,,209,112,97
v3_p18,135,La Pampa,Realicó,Realicó,,3373,1765,1608
v3_p18,506,Buenos Aires,Olavarría,Recalde,,541,293,248
v3_p18,773,La Pampa,Quemú-Quemú,Relmo,,229,135,94
v3_p18,540,La Pampa,Guatraché,Remecó,,484,257,227
v3_p18,618,Buenos Aires,Coronel Pringles,Reserva,,372,244,128
v3_p18,390,La Pampa,Caleu-Caleu,Río Colorado,,764,450,314
v3_p18,677,Buenos Aires,Campana,Río Luján,,319,190,129
v3_p18,261,Buenos Aires,San Pedro,Río Tala,,1375,754,621
v3_p18,100,Buenos Aires,Rivadavia,Rivadavia,,5315,2674,2641
v3_p18,816,Buenos Aires,Puán,Rivadeo,,197,112,85
v3_p18,393,Buenos Aires,Suipacha,Rivas,,757,402,355
v3_p19,141,Buenos Aires,Adolfo Alsina,Rivera,,3187,1682,1505
v3_p19,561,Buenos Aires,Rojas,Roberto Cano,,452,248,204
v3_p19,522,Buenos Aires,Magdalena,Roberto J. Payró,,510,285,225
v3_p19,152,Buenos Aires,Lincoln,Roberts,,3035,1615,1420
v3_p19,834,Buenos Aires,Olavarría,Rocha,,180,102,78
v3_p19,65,Buenos Aires,Rojas,Rojas,,9446,4655,4791
v3_p19,896,Buenos Aires,Guaminí,Rolito,,123,69,54
v3_p19,371,La Pampa,Atreucó,Rolón,,835,436,399
v3_p19,895,Buenos Aires,Suipacha,Román Báez,,124,68,56
v3_p19,524,Buenos Aires,Las Flores,Rosas,,506,289,217
v3_p19,389,Buenos Aires,Rivadavia,Roosvelt,,771,453,318
v3_p19,127,Buenos Aires,Roque Pérez,Roque Pérez,,3602,1747,1855
v3_p19,317,La Pampa,Conhello,Rucanelo,,1050,561,489
