page,n_orden,localidad,provincia,depto_1960,poblacion,tipo_resolucion,propuesta,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,nota
v4_p07,475,Gobernador Candioti,Santa Fe,La Capital,767,manual_coord,Gobernador Candioti,-31.4008,-60.7485,Wikipedia,https://es.wikipedia.org/wiki/Gobernador_Candioti,verde,La Capital,"Comuna del depto La Capital, Santa Fe, km 495 RN11"
v3_p18,390,Río Colorado,La Pampa,Caleu-Caleu,764,rename,La Adela,-38.9854,-64.0907,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=La+Adela,+Caleu+Caleu,+La+Pampa,+Argentina",verde,Caleu Caleu,"El poblado del lado La Pampa (ex 'Río Colorado-La Pampa') es la actual La Adela, cabecera de Caleu Caleu; Río Colorado ciudad está enfrente, en Río Negro (homónimo)."
v4_p03,480,Cap. de la Sgrda. Familia,Córdoba,Río Primero,749,rename,Sagrada Familia,-31.2833,-63.4167,Wikipedia (Sagrada Familia Córdoba),https://es.wikipedia.org/wiki/Sagrada_Familia_(C%C3%B3rdoba),verde,Río Primero,"Comuna Sagrada Familia (ex Capilla de la Sagrada Familia), depto Río Primero."
v6_p05,130,Pozo Grande,Santiago del Estero,Avellaneda,745,sin_coordenada,,,,osm,https://nominatim.openstreetmap.org/search?q=Pozo%20Grande%2C%20Santiago%20del%20Estero,sin_coord,,"5 homonimos 'Pozo Grande' en Sgo del Estero (deptos Ojo de Agua, Rio Hondo, Figueroa, Alberdi) pero NINGUNO en depto Avellaneda. No se confirmo; posible homonimo. Sin coordenada."
v7_p04,182,Gobernador Garmendia,Tucumán,Burruyacú,740,manual_coord,Gobernador Garmendia,-26.5689,-64.5561,wikipedia,https://en.wikipedia.org/wiki/Gobernador_Garmendia,verde,Burruyacú,"Localidad de depto Burruyacú (Tucumán), sobre RP336."
v4_p09,492,La Buena Parada,Córdoba,Río Primero,730,sin_coordenada,,,,,,sin_coord,,"No se halló 'La Buena Parada' en depto Río Primero (Córdoba). El homónimo 'Pueblo Buena Parada' está en depto Pichi Mahuida, Río Negro (lejano, otra provincia; descartado)."
v5_p06,167,Puerto Naranjito,Misiones,San Ignacio,726,manual_coord,Puerto Naranjito,-26.95,-55.3,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Puerto-Naranjito&id=10749,sin_depto,,"Lugar poblado del depto San Ignacio, Misiones"
v7_p09,185,San Rafael,Tucumán,Famaillá,722,manual_coord,San Rafael,-26.9667,-65.3833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=San-Rafael&id=16024,verde,Famaillá,"Lugar poblado en el área Famaillá/Lules, provincia de Tucumán"
v6_p03,132,Km. 100 Nav. Río Bermejo,Formosa,Laishí,717,sin_coordenada,,,,,,sin_coord,,Marcador de km 100 de la navegacion del Rio Bermejo en depto Laishi (Formosa); punto fluvial de campamento no identificable con confianza; sin coordenada
v3_p12,418,Juan J. Almeyra,Buenos Aires,Navarro,696,rename,José Juan Almeyra,-34.917,-59.567,Wikipedia / citypopulation,https://en.wikipedia.org/wiki/Jos%C3%A9_Juan_Almeyra,rojo,Suipacha,Grafía moderna José Juan Almeyra (J.J. Almeyra); partido de Navarro.
v5_p08,173,Yabebiry,Misiones,Oberá,689,manual_coord,Colonia Yabebiry,-27.45,-55.3,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Cerro-Negro&id=32008,verde,Oberá,"Colonia Yabebiry, depto Oberá. Coordenada aproximada."
v3_p07,431,Durcudoy,Buenos Aires,Puán,670,rename,Villa Durcudoy (Estación 17 de Agosto),-37.9128,-62.9381,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_17_de_Agosto,verde,Puán,"Durcudoy = Villa Durcudoy / Estacion 17 de Agosto, en localidad Diecisiete de Agosto, partido Puan, Buenos Aires. Coincide depto."
v5_p04,188,Ifrán,Corrientes,Goya,622,manual_coord,Ifrán,-29.0959,-58.9693,osm,"https://nominatim.openstreetmap.org/search?q=Ifran,+Goya,+Corrientes,+Argentina",verde,Goya,"Paraje Ifrán en depto Goya (Corrientes), sobre RP84."
v3_p01,459,Aldea Romana,Buenos Aires,Bahía Blanca,616,barrio_de,Aldea Romana (Bahía Blanca),-38.6825,-62.2135,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Bahía Blanca,"Actualmente barrio de la ciudad de Bahía Blanca (Cuartel II), partido de Bahía Blanca."
v4_p04,541,Colonia O'Higgins,Córdoba,Marcos Juárez,613,rename,Capitán General Bernardo O'Higgins,-33.25,-62.2667,Wikipedia,https://es.wikipedia.org/wiki/Capit%C3%A1n_General_Bernardo_O'Higgins,verde,Marcos Juárez,"Depto Marcos Juárez, Córdoba; fundada 1893 como Colonia Progreso"
v5_p01,192,Altamirano Sud,Entre Ríos,Tala,607,rename,Altamirano Sur,-32.0883,-59.1751,Wikipedia,https://es.wikipedia.org/wiki/Altamirano_Sur,verde,Tala,"Centro rural del distrito Raíces al Sud, depto Tala (Altamirano Sud = Altamirano Sur)"
v4_p17,556,Tala Norte,Córdoba,Río Primero,583,manual_coord,Estación Tala Norte,-31.1148,-63.6014,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,verde,Río Primero,"Estacion Tala Norte, paraje El Alcalde, Pedania Tala, depto Rio Primero, Cordoba"
v5_p08,196,Villa San Marcial (Gob. Urquiza),Entre Ríos,Uruguay,578,manual_coord,Villa San Marcial (Estación Gobernador Urquiza),-32.1667,-58.9333,Wikipedia (Villa San Marcial),https://es.wikipedia.org/wiki/Villa_San_Marcial,verde,Uruguay,"Mismo lugar; distrito Moscas, depto Uruguay. La estación se llama Gobernador Urquiza."
v8_p02,137,Ingeniero Balloffet,Mendoza,San Rafael,578,manual_coord,Ingeniero Balloffet,-34.763,-68.4122,Tripadvisor/GeoNames,https://www.tripadvisor.com/Tourism-g25219062-Ingeniero_Balloffet_San_Rafael_Province_of_Mendoza_Cuyo-Vacations.html,verde,San Rafael,"Localidad del oasis de San Rafael, depto San Rafael. Coordenada aproximada."
v9_1_2_p03,96,Lago Futalaufquen,Chubut,Futaleufú,578,rename,Villa Futalaufquen,-42.8605,-71.6269,gazetteer,http://www.hosteriafutalaufquen.com/ubicacion/,verde,Futaleufú,"Aldea Villa Futalaufquen sobre costa sur del lago Futalaufquen, PN Los Alerces, depto Futaleufu, Chubut. Coincide depto."
v6_p05,152,Misión Fco. Tacaaglé,Formosa,Pilagás,570,manual_coord,Misión Tacaaglé,-24.9780,-58.8221,wikipedia,https://en.wikipedia.org/wiki/Misi%C3%B3n_Tacaagl%C3%A9,verde,Pilagás,Localidad de depto Pilagás (Formosa); ex San Francisco Solano de Tacaaglé.
v5_p04,199,Ingenio 1er. Correntino,Corrientes,San Cosme,567,manual_coord,Ingenio Primer Correntino,-27.4319,-58.6244,Wikipedia,https://es.wikipedia.org/wiki/Ingenio_Primer_Correntino,verde,San Cosme,"Localidad del depto San Cosme (dependiente de Santa Ana de los Guácaras), Corrientes."
v3_p22,489,Villa Nueva,Buenos Aires,General Paz,564,rename,Villanueva (Estación Villanueva),-35.6789,-58.4353,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Villanueva,verde,General Paz,"Localidad/estación del partido General Paz, BA"
v4_p19,566,Villa Independencia,Córdoba,Punilla,556,manual_coord,Villa Independencia (área Villa Carlos Paz / San Antonio de Arredondo),-31.4583,-64.5078,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Villa+Independencia+Punilla+Cordoba&format=json,verde,Punilla,"Barrio/localidad del depto Punilla, en el conurbano de Villa Carlos Paz"
v3_p22,496,Villa Harding Green,Buenos Aires,Bahía Blanca,553,barrio_de,Villa Harding Green (Bahía Blanca),-38.7211,-62.1958,Wikipedia,https://es.wikipedia.org/wiki/Villa_Harding_Green,verde,Bahía Blanca,"Localidad separada hasta censo 1991, hoy barrio del NE de Bahia Blanca"
v4_p08,567,Kilómetro 711,Córdoba,Colón,547,rename,Malvinas Argentinas (Córdoba),-31.3792,-64.0539,Wikipedia (Malvinas Argentinas,Córdoba),verde,Colón,https://es.wikipedia.org/wiki/Malvinas_Argentinas_(C%C3%B3rdoba)
v5_p06,202,Pueblo San Martín (Pto. Curtiembre),Entre Ríos,Paraná,544,rename,Puerto Curtiembre (Pueblo General San Martín),-31.4611,-60.1661,Wikipedia (Puerto Curtiembre),https://es.wikipedia.org/wiki/Puerto_Curtiembre,verde,Paraná,Comuna del depto Paraná sobre el río Paraná; 'Pueblo San Martín' fue el nombre oficial que nunca reemplazó al popular Puerto Curtiembre.
v3_p04,504,Colonia Hogar Ricardo Gutiérrez,Buenos Aires,Marcos Paz,541,barrio_de,Marcos Paz (Colonia Hogar Ricardo Gutiérrez),-34.8478,-58.8354,osm,https://nominatim.openstreetmap.org/search?q=Colonia%20Hogar%20Ricardo%20Guti%C3%A9rrez%2C%20Marcos%20Paz,verde,Marcos Paz,"Colonia/barrio ~7 km al sur de la ciudad de Marcos Paz, partido Marcos Paz. Coincide depto."
v6_p01,160,Clodomiro Díaz,Chaco,Mayor Luis J. Fontana,540,manual_coord,Pueblo Clodomiro Díaz,-27.6380,-60.7937,osm,"https://nominatim.openstreetmap.org/search?q=Pueblo+Clodomiro+Diaz,+Chaco,+Argentina",verde,Mayor Luis J. Fontana,"Aldea/estación en depto Mayor Luis J. Fontana (Chaco), cerca de Villa Ángela."
v5_p04,205,Leguizamón,Entre Ríos,La Paz,531,sin_coordenada,,,,,,sin_coord,,"No se identificó localidad/estación 'Leguizamón' en depto La Paz o Federal (Entre Ríos). Solo aparece la calle Martiniano Leguizamón en la ciudad de La Paz (homónimo, no es la localidad). Sin coordenada confiable."
v6_p02,162,El Malacara,Santiago del Estero,General Taboada,527,manual_coord,El Malacara,-28.4333,-62.5167,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=El-Malacara&id=36291,verde,General Taboada,"Localidad del depto General Taboada, Santiago del Estero"
v3_p21,513,Spurr,Buenos Aires,Bahía Blanca,524,barrio_de,Spurr (barrio y estación de Bahía Blanca),-38.7544,-62.2544,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Spurr,verde,Bahía Blanca,Barrio y estación de FC a ~4 km al sur del centro de Bahía Blanca
v5_p04,209,La Capilla,Entre Ríos,Villaguay,521,sin_coordenada,,,,,,sin_coord,,Registro de localidad en depto Villaguay (obraspublicas) pero sin coordenada accesible; homonimos La Capilla en depto Gualeguaychu (lejos) descartados; sin coordenada
v6_p02,167,Esteros,Santiago del Estero,Figueroa,508,sin_coordenada,,,,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Esteros,+Santiago+del+Estero,+Argentina",sin_coord,,"No se ubica un 'Esteros' en depto Figueroa. Homónimos: pista apunta a depto Capital [86049110] y OSM sólo halla 'Esteros' en depto Alberdi (-26.63,-63.66); ambos lejos. Sin coordenada confiable."
v3_p13,526,Libres del Sud,Buenos Aires,Chascomús,505,manual_coord,Libres del Sud,-35.7319,-57.72,Wikipedia (Estación Libres del Sud),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Libres_del_Sud,verde,Chascomús,Paraje/estación en partido Chascomús (linda con Lezama).
v3_p15,527,Máximo Fernández,Buenos Aires,Bragado,505,rename,Máximo Fernández,-35.0614,-60.7047,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_M%C3%A1ximo_Fern%C3%A1ndez,verde,Bragado,"Localidad/estacion Maximo Fernandez, ~21 km al oeste de Bragado, partido Bragado. Coincide depto."
v3_p12,532,Kilómetro 158,Buenos Aires,San Pedro,495,rename,Pueblo Doyle,-33.9033,-59.8210,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Doyle,verde,San Pedro,El pueblo se llamó Kilómetro 158 (luego Ing. Urcelay) antes de renombrarse Pueblo Doyle; depto San Pedro (Buenos Aires).
v3_p07,533,Elordi,Buenos Aires,General Villegas,494,rename,Massey (Estación Elordi),-35.0462,-63.1218,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,General Villegas,"Localidad Massey, cuya estación ferroviaria es Elordi; partido de General Villegas, Buenos Aires."
v8_p02,143,Hipólito Irigoyen,San Luis,Belgrano,481,manual_coord,Hipólito Yrigoyen,-32.9167,-66.3333,getamap,https://www.getamap.net/maps/argentina/san_luis/_hipolitoirigoyen/,verde,Belgrano,"Localidad del depto Belgrano, San Luis"
v3_p15,551,M. Colman,Buenos Aires,Rauch,464,rename,Estación Martín Colman,-36.4097,-59.1433,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mart%C3%ADn_Colman,verde,Rauch,Estación y pequeño poblado en partido de Rauch (M. Colman = Martín Colman)
v3_p08,558,Enrique Lavalle,Buenos Aires,Hipólito Yrigoyen,457,manual_coord,Enrique Lavalle,-36.4094,-61.9339,Wikipedia,https://es.wikipedia.org/wiki/Enrique_Lavalle,rojo,Daireaux,"Paraje con Estacion Enrique Lavalle (FC Midland); hoy en partido Daireaux, sobre el limite con el partido Hipolito Yrigoyen (depto 1960)"
v7_p10,277,Senador Péres,Jujuy,Humahuaca,450,manual_coord,Estación Senador Pérez (Uquía),-23.3046,-65.3574,Wikipedia (Estación Senador Pérez / Uquía),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Senador_P%C3%A9rez,verde,Humahuaca,"La estación Senador Pérez está en la localidad de Uquía, depto Humahuaca; coordenada de Uquía."
v6_p07,180,Vicentini,Chaco,San Fernando,447,barrio_de,Puerto Vicentini (barrio de Fontana),-27.4014,-59.0392,Wikimapia/dices.net,http://wikimapia.org/33649922/es/BARRIO-PUERTO-VICENTINI,verde,San Fernando,"Antigua localidad Puerto Vicentini, hoy barrio de Fontana, depto San Fernando."
v8_p02,151,Dixonville,San Luis,Gobernador Dupuy,441,rename,Fortín El Patria (ex Dixonville),-34.7726,-65.5232,osm,https://nominatim.openstreetmap.org/search?q=Fort%C3%ADn%20El%20Patria%2C%20San%20Luis,verde,Gobernador Dupuy,"Estacion Dixonville, hoy paraje/municipio Fortin El Patria, depto Gobernador Dupuy, San Luis. Coincide depto (la coord de Wikipedia estaba errada en Bs As)."
v4_p12,621,Monte Cristo,Córdoba,Río Primero,439,manual_coord,Monte Cristo,-31.3431,-63.9444,wikipedia,https://es.wikipedia.org/wiki/Monte_Cristo,rojo,Colón,"Localidad de depto Río Primero (Córdoba), a 25 km de la capital, sobre RN19."
v8_p04,152,Rincón del Este,San Luis,Junín,435,manual_coord,Rincón del Este (Villa de Merlo),-32.3506,-64.9827,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Junín,"Paraje/barrio al este de Villa de Merlo, depto Junín, San Luis (hoy reserva florofaunística)."
v6_p02,184,Desvío Bruchard,Formosa,Patiño,432,manual_coord,Apeadero Bruchard (Ramal C25),-25.14,-59.96,Wikipedia,https://es.wikipedia.org/wiki/Ramal_C25_del_Ferrocarril_Belgrano,verde,Patiño,"Apeadero km 1797 (cruza RP24) entre Estanislao del Campo e Ibarreta, depto Patiño; coordenada aproximada por interpolación entre esas estaciones"
v8_p02,155,Embalse La Florida,San Luis,Coronel Pringles,417,rename,La Florida,-33.1182,-66.0008,Wikipedia,https://es.wikipedia.org/wiki/La_Florida_(San_Luis),verde,Coronel Pringles,"Localidad junto al Embalse La Florida, depto Coronel Pringles"
v4_p19,633,V. Rosario del Saladillo,Córdoba,Tulumba,416,manual_coord,Villa Rosario del Saladillo,-30.4311,-63.4731,Wikipedia,https://es.wikipedia.org/wiki/Rosario_del_Saladillo,verde,Tulumba,"Rosario del Saladillo (Villa), depto Tulumba, Cordoba"
v7_p03,293,Dr. Facundo Zuviría,Salta,Chicoana,402,manual_coord,Facundo Zuviría (El Carril),-25.0709,-65.4935,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Facundo+Zuviria,+Salta,+Argentina",verde,Chicoana,"Paraje/estación Facundo de Zuviría en El Carril, depto Chicoana (se descarta el homónimo Facundo Zuviría en Gral. San Martín)."
v6_p04,197,Mal Paso,Santiago del Estero,Capital,401,manual_coord,Mal Paso,-27.7667,-64.3097,Wikipedia (Aeropuerto Mal Paso / Vicecomodoro Aragonés),https://en.wikipedia.org/wiki/Vicecomodoro_%C3%81ngel_de_la_Paz_Aragon%C3%A9s_Airport,verde,Capital,Paraje al NO de la ciudad de Santiago del Estero (depto Capital); coordenada del aeródromo homónimo 'Mal Paso'.
v3_p14,598,Lia Calel,Buenos Aires,Tres Arroyos,392,rename,Lin Calel,-38.7000,-60.2333,gazetteer,https://www.dices.net/mapas/argentina/mapa.php?nombre=Lin-Calel&id=877,verde,Tres Arroyos,"Transcripcion 'Lia Calel' = Lin Calel, pueblo/estacion del partido Tres Arroyos, Buenos Aires. Coincide depto."
v7_p04,298,El Recreo,Catamarca,Santa María,391,manual_coord,"El Recreo (paraje, 25 de Mayo)",-26.7221,-66.0573,osm,"https://nominatim.openstreetmap.org/search?q=El+Recreo,+Santa+Maria,+Catamarca,+Argentina",verde,Santa María,Paraje El Recreo (distrito 25 de Mayo) en depto Santa María (Catamarca). NO es el homónimo Recreo/La Paz de la pista.
v4_p02,642,Cabana,Córdoba,Colón,379,manual_coord,Cabana,-31.2175,-64.3502,Wikipedia,https://es.wikipedia.org/wiki/Cabana_(Argentina),verde,Colón,"Localidad en la ladera este de las Sierras Chicas, depto Colón, cerca de Unquillo, Córdoba."
v4_p03,643,Candelaria Norte,Córdoba,Río Seco,379,rename,Villa Candelaria Norte,-29.8119,-63.3539,Wikipedia,https://es.wikipedia.org/wiki/Villa_Candelaria_Norte,verde,Río Seco,"Localidad del depto Río Seco, Córdoba"
v6_p02,206,El Chorro,Formosa,Ramón Lista,377,manual_coord,El Chorro,-23.2167,-62.3000,Wikipedia,https://es.wikipedia.org/wiki/El_Chorro_(Formosa),verde,Ramón Lista,Localidad del depto Ramón Lista; se llamó General Mosconi 1977-2015 y recuperó el nombre El Chorro
v9_1_2_p01,116,Centro Río Mayo,Chubut,Río Senguer,376,manual_coord,Río Mayo,-45.6869,-70.2600,Wikipedia,https://es.wikipedia.org/wiki/R%C3%ADo_Mayo_(ciudad),verde,Río Senguer,"Centro de la ciudad de Rio Mayo, depto Rio Senguer, Chubut"
v6_p05,209,Pampa Florida,Chaco,Maipú,371,manual_coord,Pampa Florida,-26.5630,-60.3912,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Pampa+Florida,+Chaco,+Argentina",verde,Maipú,"Paraje en Municipio de Tres Isletas, depto Maipú, Chaco."
v3_p11,642,José M. Micheo,Buenos Aires,General Alvear,352,rename,Estación José María Micheo,-35.8816,-59.9466,Wikipedia (Estación José María Micheo),https://es.wikipedia.org/wiki/Estaci%C3%B3n_Jos%C3%A9_Mar%C3%ADa_Micheo,verde,General Alvear,Paraje/estación en partido General Alvear.
v4_p12,657,Molinari,Córdoba,Punilla,345,rename,Molinari,-31.1999,-64.4830,wikipedia,https://es.wikipedia.org/wiki/Molinari_(C%C3%B3rdoba),verde,Punilla,"Molinari, localidad del depto Punilla (hoy dependiente de Cosquin), Cordoba. Coincide depto."
v7_p05,321,Iturbe,Jujuy,Humahuaca,326,manual_coord,Iturbe,-22.9789,-65.3536,wikipedia,https://es.wikipedia.org/wiki/Iturbe_(Argentina),verde,Humahuaca,"Localidad/estación ferroviaria en depto Humahuaca (Jujuy). Coord 22°58'44\\""S 65°21'13\""\""W."""
v3_p14,673,Loma Negra,Buenos Aires,Olavarría,322,manual_coord,Loma Negra (Villa Fortabat),-36.9667,-60.2500,Wikipedia,https://es.wikipedia.org/wiki/Loma_Negra,verde,Olavarría,"Pueblo cementero (Villa Alfredo Fortabat), a ~14 km de Olavarría, partido de Olavarría."
v4_p06,667,Desvío Km. 691,Córdoba,Río Primero,317,manual_coord,Paraje Km 691 (Campo Enríquez),-31.36,-63.853,Mapcarta,https://mapcarta.com/es/20051876,verde,Río Primero,"Paraje/desvío sobre RN19, ~9 km al E de Monte Cristo, depto Río Primero; coordenada aproximada"
v3_p04,683,Cerro de los Leones,Buenos Aires,Tandil,309,manual_coord,Cerro Leones (paraje),-37.3161,-59.2003,Welcome Argentina / OSM,https://www.welcomeargentina.com/tandil/cabanas-cerro-leones_i.html,verde,Tandil,"Paraje serrano al pie del Cerro Leones, partido de Tandil"
v7_p10,330,Tala Pampa,Salta,La Viña,304,rename,Talapampa,-25.5450,-65.5570,Georef (INDEC/datos.gob.ar),https://apis.datos.gob.ar/georef/api/localidades-censales?nombre=Talapampa,verde,La Viña,"Tala Pampa = Talapampa, localidad del depto La Viña, Salta"
v3_p08,696,Fuerte Argentino,Buenos Aires,Tornquist,301,manual_coord,Fuerte Argentino,-38.2117,-62.4206,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=Fuerte+Argentino,+Tornquist,+Buenos+Aires,+Argentina",verde,Tornquist,"Paraje sobre el río Sauce Chico, partido de Tornquist (Cuartel III)."
v3_p07,698,El Arbolito,Buenos Aires,Colón,298,manual_coord,El Arbolito,-33.9138,-60.9434,Wikipedia (Estación El Arbolito),https://es.wikipedia.org/wiki/Estaci%C3%B3n_El_Arbolito,verde,Colón,Localidad/estación en partido Colón (parte se extiende a Rojas como Villa Manuel Pomar).
v4_p06,682,El Cano,Córdoba,Calamuchita,298,manual_coord,El Cano,-32.6101,-64.5961,osm,https://nominatim.openstreetmap.org/search?q=El%20Cano%2C%20Calamuchita%2C%20C%C3%B3rdoba,verde,Calamuchita,"Paraje rural El Cano (Pedania Rio de los Sauces), depto Calamuchita, Cordoba; capilla San Antonio de El Cano. Coincide depto; coordenada aproximada."
v5_p07,271,Veinte de Setiembre,Entre Ríos,Nogoyá,289,manual_coord,Veinte de Setiembre,-32.3860,-59.6645,osm,"https://nominatim.openstreetmap.org/search?q=Veinte+de+Setiembre,+Nogoya,+Entre+Rios,+Argentina",verde,Nogoyá,"Paraje/junta de gobierno en distrito Sauce, depto Nogoyá (Entre Ríos), sobre RN12."
v3_p23,709,Vuelta de Obligado,Buenos Aires,San Pedro,283,rename,Obligado,-33.5833,-59.8167,Wikipedia,https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires),rojo,Ramallo,"Localidad de Obligado (Vuelta de Obligado) a orillas del Paraná, partido de San Pedro."
v9_1_2_p04,132,San Pedro,Río Negro,Bariloche,274,barrio_de,Península San Pedro (San Carlos de Bariloche),-41.0677,-71.4473,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Peninsula-San-Pedro&id=15977,verde,Bariloche,"Paraje hoy barrio/península de San Carlos de Bariloche, depto Bariloche"
v5_p05,275,Piloto Avila,Entre Ríos,La Paz,266,manual_coord,Piloto Ávila,-30.7333,-59.5667,OpenStreetMap Nominatim,https://nominatim.openstreetmap.org/search?q=Piloto+Avila+La+Paz+Entre+Rios&format=json,verde,La Paz,"Paraje próximo a la ciudad de La Paz (acceso Ruta 1), depto La Paz"
v7_p07,344,Osma,Salta,La Viña,263,manual_coord,Osma,-25.2009,-65.4888,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,verde,La Viña,"Aldea Osma (antiguo Embarcadero Osma del FC Belgrano C-13), depto La Viña, Salta"
v3_p01,737,Agote,Buenos Aires,Mercedes,260,manual_coord,Agote,-34.6441,-59.3551,Wikipedia (Agote),https://es.wikipedia.org/wiki/Agote_(Buenos_Aires),verde,Mercedes,Localidad surgida en torno a la estación Agote (FC San Martín); partido de Mercedes.
v9_1_2_p04,134,Puerto Coyle,Santa Cruz,Güer Aike,251,rename,Puerto Coig (Puerto Coyle),-50.9567,-69.2267,Wikipedia (Puerto Coig),https://es.wikipedia.org/wiki/Puerto_Coig,verde,Güer Aike,"Ex localidad del depto Güer Aike, también llamada Puerto Coyle."
v5_p06,281,Primero de Mayo,Entre Ríos,Uruguay,246,rename,Primero de Mayo,-32.2552,-58.4228,wikipedia,https://es.wikipedia.org/wiki/Primero_de_Mayo_(Entre_R%C3%ADos),verde,Uruguay,"Primero de Mayo, municipio del depto Uruguay, Entre Rios. Coincide depto."
v6_p02,242,El Cajón,Santiago del Estero,Ojo de Agua,246,manual_coord,El Cajón,-29.3211,-63.8839,osm,"https://nominatim.openstreetmap.org/search?q=El+Cajon,+Ojo+de+Agua,+Santiago+del+Estero,+Argentina",verde,Ojo de Agua,Paraje El Cajón en depto Ojo de Agua (Santiago del Estero).
v6_p03,245,La Brea,Santiago del Estero,Figueroa,237,manual_coord,La Brea,-27.5719,-63.6296,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Figueroa,Paraje en depto Figueroa (Santiago del Estero). La pista Brea Pozo está en depto San Martín (homónimo distinto); se usó La Brea de Figueroa.
v3_p03,761,Barrow,Buenos Aires,Tres Arroyos,236,manual_coord,Estación Barrow / Chacra Experimental Barrow,-38.3211,-60.2578,Gobierno de la Prov. de Buenos Aires (CEI Barrow),https://www.gba.gob.ar/innovacion_productiva/chacra_experimental_integrada_barrow,verde,Tres Arroyos,"Estación/chacra experimental, km 487,5 RN3, partido Tres Arroyos"
v3_p21,766,Tomás Jofré,Buenos Aires,Mercedes,235,manual_coord,Tomás Jofré (nombre oficial Jorge Born),-34.6995,-59.3189,Municipalidad de Mercedes,https://nw.mercedes.gob.ar/ciudad/turismo/tomas-jofre,verde,Mercedes,"Localidad del partido de Mercedes; nombre oficial Jorge Born, popularmente Tomás Jofré por su estación"
v6_p06,246,Puna,Santiago del Estero,Moreno,235,manual_coord,Puna,-27.7981,-62.5224,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/,verde,Moreno,"Puna (antigua estacion FC Belgrano ramal C4), depto Moreno, Santiago del Estero; NO confundir con La Punta del depto Choya (homonimo lejano de la pista)"
v4_p05,716,Chuchiras,Córdoba,San Javier,234,manual_coord,Chuchiras,-31.9762,-65.0932,derutasymapas / mapas,https://www.derutasymapas.com.ar/Cordoba/Chuchiras/,verde,San Javier,"Paraje próximo a Villa Las Rosas, depto San Javier. Coord 31°59'S 65°06'O."
v4_p05,718,Cruz Chica,Córdoba,Punilla,233,manual_coord,Cruz Chica,-30.9667,-64.4833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Cruz-Chica&id=33184,verde,Punilla,"Localidad del Valle de Punilla entre La Cumbre y Los Cocos, depto Punilla."
v7_p11,361,Veintitrés de Agosto,Jujuy,Ledesma,228,rename,23 de Agosto,-23.7808,-64.6708,osm,https://nominatim.openstreetmap.org/search?q=23%20de%20Agosto%2C%20Ledesma%2C%20Jujuy,verde,Ledesma,"'23 de Agosto', poblado del depto Ledesma (municipio Calilegua), Jujuy. Coincide depto; existe tambien barrio homonimo en Libertador Gral San Martin (mismo depto)."
v3_p12,781,La Japonesa,La Pampa,Cura-Có,225,rename,Gobernador Duval,-38.7430,-66.4354,osm,"https://nominatim.openstreetmap.org/search?q=Gobernador+Duval,+La+Pampa,+Argentina",verde,Curacó,"Gobernador Duval, sobre el Río Colorado en depto Curacó (La Pampa); histórica y popularmente conocido como La Japonesa."
v7_p01,370,Bajo Grande,Salta,Metán,210,manual_coord,Bajo Grande,-25.3500,-64.5000,OSM Nominatim,https://nominatim.openstreetmap.org/,verde,Metán,"Localidad del municipio El Galpón, depto Metán, Salta. Coordenada de baja precisión (punto OSM redondeado); aproximada."
v7_p02,372,Capitán J. Page,Salta,Rivadavia,207,rename,Capitán Juan Pagé,-23.6833,-62.3833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Capitan-Juan-Page&id=29081,verde,Rivadavia,"Localidad ferroviaria del depto Rivadavia, Salta"
