page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag,tier,propuesta,tipo_resolucion,georef_id,id_no_censal,nombre_oficial,lat,lon,fuente,fuente_url,confianza,nota
v3_p05,323,Cortines,Buenos Aires,Luján,1012,flag_bahra,A (aparcado),Cortines,confirmar_candidato_georef,0649706002,true,Cortines,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p04,400,Clucellas,Santa Fe,Castellanos,1011,flag_variante,D,,desambiguar,,,,,,georef,,baja,>1 candidato: Estación Clucellas/Castellanos [82021160]; Plaza Clucellas/Castellanos [82021270]
v4_p17,402,Sebastián el Cano,Córdoba,Río Seco,1010,flag_sin_match,C5-rename,Sebastián Elcano,rename,,,,-30.1611,-63.5897,Wikipedia (Sebastián Elcano),https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Elcano_(C%C3%B3rdoba),verde (guard: coord en depto esperado),[guard=verde; punto en Río Seco] Grafía moderna Sebastián Elcano; depto Río Seco. Coord 30°09'40''S 63°35'23''O.
v7_p10,143,Santa Rosa,Catamarca,Tinogasta,1006,flag_sin_match,C5-manual_coord,Santa Rosa (Tinogasta),manual_coord,,,,-28.033,-67.617,Wikipedia (Santa Rosa Tinogasta),https://es.wikipedia.org/wiki/Santa_Rosa_(Tinogasta),verde (guard: coord en depto esperado),"[guard=verde; punto en Tinogasta] Comuna a 5 km al norte de Tinogasta, depto Tinogasta."
v3_p19,324,Ruiz,Buenos Aires,San Andrés de Giles,1004,flag_variante,A (aparcado),Villa Ruiz,confirmar_candidato_georef,06728070,,Villa Ruiz,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p10,326,Grumbein,Buenos Aires,Bahía Blanca,1003,flag_variante_bahra,E-bahra-fuzzy,Grünbein,confirmar_o_rechazar_candidato,,true,,,,georef/localidades,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Grünbein/Bahía Blanca [0605601002]
v4_p05,406,Cosme,Córdoba,Santa María,998,flag_variante_bahra,E-bahra-fuzzy,Cosme Norte,confirmar_o_rechazar_candidato,,,,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Cosme Norte/Santa María [14147A09]; Cosme Sur/Santa María [14147A10]
v7_p01,146,Agua Dulce,Tucumán,Leales,984,flag_bahra,A (aparcado),Agua Dulce,confirmar_candidato_georef,90056A01,,Agua Dulce,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v4_p03,413,Canteras el Sauce,Córdoba,Colón,975,flag_bahra,A (aparcado),Canteras El Sauce,confirmar_candidato_georef,14021030,,Canteras El Sauce,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v4_p07,419,Golondrina,Santa Fe,General Obligado,966,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=93 -> zona gris. candidatos: Golondrina/Vera [82133060]
v3_p03,339,Camet,Buenos Aires,General Pueyrredón,956,flag_bahra,A (aparcado),Camet,confirmar_candidato_georef,0635711001,true,Camet,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v5_p08,132,Villa Zorraquín,Entre Ríos,Concordia,952,flag_bahra,A (aparcado),Villa Zorraquín,confirmar_candidato_georef,3001506007,true,Villa Zorraquín,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p04,425,Colonia la Tordilla,Córdoba,San Justo,950,flag_sin_match,C-generador,La Tordilla,confirmar_candidato_georef,14140250,,La Tordilla,-31.236549587976,-63.0610632727038,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'la Tordilla' [prefijo: se quita 'Colonia']
v5_p07,134,Veinticinco de Mayo,Misiones,25 de Mayo,935,flag_sin_match,C-generador,25 de Mayo,confirmar_candidato_georef,54119060,,25 de Mayo,-27.3814747084572,-54.7453078816329,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: '25 de Mayo' [numero-palabra -> digito: Veinticinco->25]
v5_p01,136,Aranguren,Entre Ríos,Victoria,932,flag_sin_match,C5-rename,Villa Aranguren,rename,,,,-32.2500,-60.1667,wikipedia,https://es.wikipedia.org/wiki/Villa_Aranguren,REVISAR (rojo),"[guard=rojo; punto en Nogoyá] Aranguren = Villa Aranguren. Wikipedia la ubica en depto Nogoya (limitrofe con Victoria, depto_1960); coincide con pista"
v7_p02,151,Cevil Pozo,Tucumán,Cruz Alta,930,flag_sin_match,C5-manual_coord,Cevil Pozo,manual_coord,,,,-26.8553,-65.1256,wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Cevil_Pozo,verde (guard: coord en depto esperado),"[guard=verde; punto en Cruz Alta] Estación/localidad en Banda del Río Salí, depto Cruz Alta (Tucumán). Coord 26°51'19\\""S 65°07'32\""\""W."""
v7_p05,152,Huaco,Catamarca,Andalgalá,929,flag_sin_match,C5-manual_coord,Huaco,manual_coord,,,,-27.6088,-66.3330,Wikipedia,https://es.wikipedia.org/wiki/Huaco_(Catamarca),verde (guard: coord en depto esperado),"[guard=verde; punto en Andalgalá] Localidad ~5 km al sur de Andalgalá; sede de la ex Estación Huaco (FC Belgrano), depto Andalgalá."
v5_p05,139,Nueve de Julio,Misiones,Eldorado,920,flag_sin_match,C5-rename,9 de Julio,rename,,,,-26.4301,-54.466,Wikipedia,https://es.wikipedia.org/wiki/9_de_Julio_(Misiones),verde (guard: coord en depto esperado),"[guard=verde; punto en Eldorado] Localidad del depto Eldorado, Misiones"
v7_p03,153,Cnel. Juan Solá Morillo,Salta,Rivadavia,920,flag_sin_match,C5-rename,Coronel Juan Solá (Estación Morillo),rename,,,,-23.4667,-62.8833,Wikipedia,https://es.wikipedia.org/wiki/Coronel_Juan_Sol%C3%A1,verde (guard: coord en depto esperado),"[guard=verde; punto en Rivadavia] Cabecera de Rivadavia Banda Norte; conocida como Morillo por su estación, depto Rivadavia"
v3_p22,349,Villars,Buenos Aires,Marcos Paz,915,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=17 -> transferencia de limite plausible (adyacente). candidatos: Villars/General Las Heras [06329040]
v5_p08,142,Yuquerí,Entre Ríos,Concordia,914,flag_variante,D,,desambiguar,,,,,,georef,,baja,>1 candidato: Barrio Yuquerí Chico/Concordia [30015007]; Estacion Yuquerí/Concordia [30015083]
v5_p02,143,Desvío Parada Pucheta,Corrientes,Paso de los Libres,912,flag_sin_match,C-generador,Parada Pucheta,confirmar_candidato_georef,18119020,,Parada Pucheta,-29.9060483262042,-57.5742039571964,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Parada Pucheta' [prefijo: se quita 'Desvío']
v7_p07,155,Manantial,Tucumán,Tafí,911,flag_sin_match,C5-manual_coord,El Manantial,manual_coord,,,,-26.8442,-65.2900,Wikipedia,https://es.wikipedia.org/wiki/El_Manantial_(Tucum%C3%A1n),REVISAR (rojo),"[guard=rojo; punto en Lules] El Manantial, hoy en depto Lules (surgido del antiguo depto Tafi), conurbado y lindante con Yerba Buena (depto moderno l"
v3_p06,353,Curumalán,Buenos Aires,Coronel Suárez,896,flag_variante,A (aparcado),Curamalal,confirmar_candidato_georef,06203030,,Curamalal,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p19,441,Villa Las Rosas,Córdoba,San Javier,896,flag_variante,A (aparcado),Villa de las Rosas,confirmar_candidato_georef,14133190,,Villa de las Rosas,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p02,145,Colonia Caseros,Entre Ríos,Uruguay,885,flag_sin_match,C-generador,Caseros,confirmar_candidato_georef,30098020,,Caseros,-32.4621264573722,-58.479409722348,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Caseros' [prefijo: se quita 'Colonia']
v5_p05,146,Malvinas,Corrientes,Esquina,872,flag_variante_bahra,E-bahra-fuzzy,Malvinas Centro,confirmar_o_rechazar_candidato,,,,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Malvinas Centro/Esquina [18049A23]; Malvinas Norte/Esquina [18049A24]; Malvinas 
v4_p12,447,Mariano Saavedra,Santa Fe,Las Colonias,871,flag_sin_match,C5-rename,San Mariano (Estación Mariano Saavedra),rename,,,,-31.6684,-61.3475,Wikipedia (San Mariano),https://es.wikipedia.org/wiki/San_Mariano_(Santa_Fe),verde (guard: coord en depto esperado),[guard=verde; punto en Las Colonias] La estación Mariano Saavedra está en la localidad de San Mariano; depto Las Colonias.
v4_p02,450,Ascochingas,Santa Fe,La Capital,864,flag_sin_match,C5-rename,Ascochinga (paraje distrito Monte Vera),rename,,,,-31.4833,-60.6333,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Desvio-Ascochinga&id=25412,verde (guard: coord en depto esperado),"[guard=verde; punto en La Capital] Paraje/desvío Ascochinga en el distrito Monte Vera, depto La Capital."
v8_p02,118,La Cañada,San Juan,Albardón,858,flag_sin_match,C5-rename,La Cañada,rename,,,,-31.4446,-68.4759,osm,https://nominatim.openstreetmap.org/search?q=La%20Ca%C3%B1ada%2C%20Albard%C3%B3n%2C%20San%20Juan,verde (guard: coord en depto esperado),"[guard=verde; punto en Albardón] La Cañada, localidad del depto Albardon, San Juan. Coincide depto."
v4_p19,451,Villa Quilino,Córdoba,Ischilín,857,flag_bahra,A (aparcado),Villa Quilino,confirmar_candidato_georef,14049130,,Villa Quilino,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p22,364,Villa Sauce,Buenos Aires,General Villegas,853,flag_variante,A (aparcado),Villa Sauze,confirmar_candidato_georef,06392120,,Villa Sauze,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p02,148,Don Cristóbal,Entre Ríos,Nogoyá,852,flag_bahra,A (aparcado),Don Cristóbal,confirmar_candidato_georef,30077030,true,Don Cristóbal,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p07,453,Eusebia,Santa Fe,Castellanos,849,flag_variante,A (aparcado),Eusebia y Carolina,confirmar_candidato_georef,82021180,,Eusebia y Carolina,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p08,150,Yataití Calle,Corrientes,Lavalle,845,flag_variante_bahra,E-bahra-fuzzy,Yatayti Calle,confirmar_o_rechazar_candidato,,true,,,,georef/localidades,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Yatayti Calle/Lavalle [18091060]
v7_p07,169,Ntra.Sra. de Talavera,Salta,Anta,827,flag_sin_match,C5-manual_coord,Nuestra Señora de Talavera,manual_coord,,,,-25.4567,-63.7789,wikipedia,https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Talavera_(actual),verde (guard: coord en depto esperado),"[guard=verde; punto en Anta] Pueblo en depto Anta (Salta), municipio El Quebrachal, sobre RN16."
v5_p08,254,Yofré,Corrientes,Mercedes,826,flag_variante,A (aparcado),Felipe Yofré,confirmar_candidato_georef,18105010,,Felipe Yofré,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p12,373,La Nueva Plata,Buenos Aires,Pehuajó,825,flag_variante,A (aparcado),Nueva Plata,confirmar_candidato_georef,06609060,,Nueva Plata,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p04,155,Lib. Gral. San Martín,Entre Ríos,Diamante,809,flag_sin_match,C5-rename,Libertador San Martín (Puiggari),rename,,,,-32.0730,-60.4644,Wikipedia,https://es.wikipedia.org/wiki/Libertador_San_Mart%C3%ADn,verde (guard: coord en depto esperado),"[guard=verde; punto en Diamante] Ex Aldea Camarero / Puiggari; municipio Libertador San Martín, depto Diamante, Entre Ríos."
v8_p05,120,Villa San Carlos,Mendoza,San Carlos,809,flag_sin_match,C-generador,San Carlos,confirmar_candidato_georef,50091060,,San Carlos,-33.7721604874157,-69.0404291393231,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'San Carlos' [prefijo: se quita 'Villa']
v5_p01,156,Acuña,Corrientes,Monte Caseros,805,flag_variante,A (aparcado),Parada Acuña,confirmar_candidato_georef,18112060,,Parada Acuña,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p20,378,San Patricio,Buenos Aires,Chacabuco,803,flag_bahra,A (aparcado),San Patricio,confirmar_candidato_georef,06210A14,,San Patricio,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p21,380,Sucre,Buenos Aires,Luján,802,flag_bahra,A (aparcado),Sucre,confirmar_candidato_georef,06497A04,,Sucre,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v4_p05,468,Curupaity,Santa Fe,San Cristóbal,799,flag_variante,A (aparcado),Curupaytí,confirmar_candidato_georef,82091110,,Curupaytí,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p05,158,Nueve de Julio,Corrientes,San Roque,794,flag_sin_match,C-generador,9 de Julio,confirmar_candidato_georef,18161030,,9 de Julio,-28.8407771600765,-58.8300857171651,georef/localidades,https://apis.datos.gob.ar/georef/api,media (match exacto pero en capa BAHRA),candidato probado: '9 de Julio' [numero-palabra -> digito: Nueve->9 [capa localidades]]
v8_p03,121,Las Cortaderas,San Luis,Chacabuco,794,flag_variante,A (aparcado),Cortaderas,confirmar_candidato_georef,74028020,,Cortaderas,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v8_p04,122,Piedra Blanca,San Luis,Junín,790,flag_sin_match,C5-barrio_de,Villa de Merlo (barrio Piedra Blanca),barrio_de,,,,-32.32,-65.014,Mapcarta,https://mapcarta.com/N2579934389,verde (guard: coord en depto esperado),"[guard=verde; punto en Junín] Barrio histórico de Villa de Merlo, depto Junín; coordenada aproximada (~2,5 km al N del centro de Merlo)"
v8_p03,123,Merlo,San Luis,Junín,785,flag_bahra,A (aparcado),Merlo,confirmar_candidato_georef,74049060,true,Merlo,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v4_p13,472,Pinoén,Córdoba,General Roca,783,flag_variante,A (aparcado),Pincén,confirmar_candidato_georef,14035090,,Pincén,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p09,384,Gándara,Buenos Aires,Chascomús,782,flag_bahra,A (aparcado),Gándara,confirmar_candidato_georef,06218A11,,Gándara,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p06,387,Del Viso,Buenos Aires,Pilar,778,flag_bahra,A (aparcado),Del Viso,confirmar_candidato_georef,0663804001,true,Del Viso,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v8_p03,126,Nueve de Julio,San Juan,Nueve de Julio,776,flag_sin_match,C-generador,9 de Julio,confirmar_candidato_georef,70063040,,9 de Julio,-31.669750919971,-68.3900416378963,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: '9 de Julio' [numero-palabra -> digito: Nueve->9]
v4_p02,474,Baver y Sigel,Santa Fe,Castellanos,775,flag_variante,A (aparcado),Bauer y Sigel,confirmar_candidato_georef,82021060,,Bauer y Sigel,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v6_p07,122,Villa Escobar Navegación Río Bermejo,Formosa,Laishí,775,flag_sin_match,C5-rename,Villa Escolar,rename,,,,-26.6219,-58.6697,Wikipedia,https://es.wikipedia.org/wiki/Villa_Escolar,verde (guard: coord en depto esperado),[guard=verde; punto en Laishi] Localidad del depto Laishí sobre el río Bermejo; el nombre del censo (Villa Escobar) corresponde a Villa Escolar
v5_p04,160,Irasusta,Entre Ríos,Gualeguaychú,773,flag_variante,A (aparcado),Irazusta,confirmar_candidato_georef,30056080,,Irazusta,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p06,176,Loro Huasi,Catamarca,Santa María,772,flag_bahra,A (aparcado),Loro Huasi,confirmar_candidato_georef,10091120,,Loro Huasi,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p19,389,Roosvelt,Buenos Aires,Rivadavia,771,flag_variante,A (aparcado),Roosevelt,confirmar_candidato_georef,06679050,,Roosevelt,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p07,475,Gobernador Candioti,Santa Fe,La Capital,767,flag_sin_match,C5-manual_coord,Gobernador Candioti,manual_coord,,,,-31.4008,-60.7485,Wikipedia,https://es.wikipedia.org/wiki/Gobernador_Candioti,verde (guard: coord en depto esperado),"[guard=verde; punto en La Capital] Comuna del depto La Capital, Santa Fe, km 495 RN11"
v5_p01,161,Berón de Astrada,Corrientes,Berón de Astrada,765,flag_bahra,A (aparcado),Berón de Astrada,confirmar_candidato_georef,18014010,true,Berón de Astrada,,,georef/localidades,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> BAHRA es la fuente correcta (P7). id de capa 'localidades' NO es id censal INDEC valido
v3_p18,390,Río Colorado,La Pampa,Caleu-Caleu,764,flag_sin_match,C5-rename,La Adela,rename,,,,-38.9854,-64.0907,OSM Nominatim,"https://nominatim.openstreetmap.org/search?q=La+Adela,+Caleu+Caleu,+La+Pampa,+Argentina",verde (guard: coord en depto esperado),"[guard=verde; punto en Caleu Caleu] El poblado del lado La Pampa (ex 'Río Colorado-La Pampa') es la actual La Adela, cabecera de Caleu Caleu; Río Colorado c"
v4_p06,476,Eguzquiza,Santa Fe,Castellanos,763,flag_variante,A (aparcado),Egusquiza,confirmar_candidato_georef,82021140,,Egusquiza,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p05,163,Monteagudo,Misiones,Guaraní,761,flag_bahra,A (aparcado),Monteagudo,confirmar_candidato_georef,54056A25,,Monteagudo,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v4_p16,478,San Javier,Córdoba,San Javier,759,flag_variante,A (aparcado),San Javier y Yacanto,confirmar_candidato_georef,14133170,,San Javier y Yacanto,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p18,393,Rivas,Buenos Aires,Suipacha,757,flag_variante,A (aparcado),General Rivas,confirmar_candidato_georef,06784010,,General Rivas,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p03,480,Cap. de la Sgrda. Familia,Córdoba,Río Primero,749,flag_sin_match,C5-rename,Sagrada Familia,rename,,,,-31.2833,-63.4167,Wikipedia (Sagrada Familia Córdoba),https://es.wikipedia.org/wiki/Sagrada_Familia_(C%C3%B3rdoba),verde (guard: coord en depto esperado),"[guard=verde; punto en Río Primero] Comuna Sagrada Familia (ex Capilla de la Sagrada Familia), depto Río Primero."
v4_p19,454,Yoscina,Córdoba,Santa María,745,flag_variante_bahra,E-bahra-fuzzy,Yocsina,confirmar_o_rechazar_candidato,,,,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Yocsina/Santa María [14147380]
v6_p05,130,Pozo Grande,Santiago del Estero,Avellaneda,745,flag_sin_match,C5-sin_coordenada,,sin_coordenada,,,,,,,,,"[C5 web] 5 homonimos 'Pozo Grande' en Sgo del Estero (deptos Ojo de Agua, Rio Hondo, Figueroa, Alberdi) pero NINGUNO en depto Avellaneda. No se confi"
v4_p02,485,Bismarck,Córdoba,Unión,741,flag_variante,A (aparcado),Colonia Bismarck,confirmar_candidato_georef,14182110,,Colonia Bismarck,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p15,487,Saguier,Santa Fe,Castellanos,741,flag_variante,D,,desambiguar,,,,,,georef,,baja,>1 candidato: Estación Saguier/Castellanos [82021170]; Plaza Saguier/Castellanos [82021280]; Santa Clara de Saguier/Castellanos [82021350]
v7_p04,182,Gobernador Garmendia,Tucumán,Burruyacú,740,flag_sin_match,C5-manual_coord,Gobernador Garmendia,manual_coord,,,,-26.5689,-64.5561,wikipedia,https://en.wikipedia.org/wiki/Gobernador_Garmendia,verde (guard: coord en depto esperado),"[guard=verde; punto en Burruyacú] Localidad de depto Burruyacú (Tucumán), sobre RP336."
v5_p01,164,Calabacillas,Entre Ríos,Concordia,737,flag_variante,A (aparcado),Calabacilla,confirmar_candidato_georef,30015010,,Calabacilla,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v4_p10,491,Los Amores,Santa Fe,General Obligado,736,flag_depto,B,,transferencia_vs_homonimo,,,,,,georef+centroides,https://apis.datos.gob.ar/georef/api/departamentos,media,dist_km=93 -> zona gris. candidatos: Los Amores/Vera [82133100]
v6_p05,131,Presidente Irigoyen,Formosa,Formosa,732,flag_variante_bahra,E-bahra-fuzzy,Colonia Presidente Yrigoyen,confirmar_o_rechazar_candidato,,,,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Colonia Presidente Yrigoyen/Formosa [34014A04]
v4_p09,492,La Buena Parada,Córdoba,Río Primero,730,flag_sin_match,C5-sin_coordenada,,sin_coordenada,,,,,,,,,"[C5 web] No se halló 'La Buena Parada' en depto Río Primero (Córdoba). El homónimo 'Pueblo Buena Parada' está en depto Pichi Mahuida, Río Negro (leja"
v3_p11,401,Ingeniero Balbín,Buenos Aires,General Pinto,728,flag_variante,A (aparcado),Villa Roth (Est. Ingeniero Balbín),confirmar_candidato_georef,06351060,,Villa Roth (Est. Ingeniero Balbín),,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v3_p06,402,Defferrari,Buenos Aires,San Cayetano,727,flag_bahra,A (aparcado),Defferrari,confirmar_candidato_georef,06742A02,,Defferrari,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v5_p06,167,Puerto Naranjito,Misiones,San Ignacio,726,flag_sin_match,C5-manual_coord,Puerto Naranjito,manual_coord,,,,-26.95,-55.3,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=Puerto-Naranjito&id=10749,REVISAR (sin_depto),"[guard=sin_depto; punto en ] Lugar poblado del depto San Ignacio, Misiones"
v7_p04,183,Estación Masán,La Rioja,Arauco,726,flag_variante,A (aparcado),Estación Mazán,confirmar_candidato_georef,46007040,,Estación Mazán,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p09,185,San Rafael,Tucumán,Famaillá,722,flag_sin_match,C5-manual_coord,San Rafael,manual_coord,,,,-26.9667,-65.3833,dices.net,https://www.dices.net/mapas/argentina/mapa.php?nombre=San-Rafael&id=16024,verde (guard: coord en depto esperado),"[guard=verde; punto en Famaillá] Lugar poblado en el área Famaillá/Lules, provincia de Tucumán"
v6_p03,132,Km. 100 Nav. Río Bermejo,Formosa,Laishí,717,flag_sin_match,C5-sin_coordenada,,sin_coordenada,,,,,,,,,[C5 web] Marcador de km 100 de la navegacion del Rio Bermejo en depto Laishi (Formosa); punto fluvial de campamento no identificable con confianza; s
v4_p04,498,Cello,Santa Fe,Castellanos,716,flag_variante,A (aparcado),Colonia Cello,confirmar_candidato_georef,82021100,,Colonia Cello,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v7_p07,192,Metán Viejo,Salta,Metán,710,flag_bahra,A (aparcado),Metán Viejo,confirmar_candidato_georef,66112050,,Metán Viejo,,,georef/asentamientos,https://apis.datos.gob.ar/georef/api,alta,BAHRA: el nombre no es localidad censal -> fuente correcta (P7)
v3_p05,410,Colonia 25 de Mayo,La Pampa,Puelén,709,flag_sin_match,C-generador,25 de Mayo,confirmar_candidato_georef,42112020,,25 de Mayo,-37.7700150466245,-67.7180795675134,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: '25 de Mayo' [prefijo: se quita 'Colonia']
v9_1_2_p03,87,Ministro Ramos Mejía,Río Negro,9 de Julio,708,flag_variante,A (aparcado),Ministro Ramos Mexía,confirmar_candidato_georef,62049030,,Ministro Ramos Mexía,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v9_1_2_p01,88,Colonia Catriel,Río Negro,General Roca,707,flag_sin_match,C-generador,Catriel,confirmar_candidato_georef,62042360,,Catriel,-37.8815288625891,-67.7945569701758,georef/localidades-censales,https://apis.datos.gob.ar/georef/api,alta (match exacto en depto del conjunto),candidato probado: 'Catriel' [prefijo: se quita 'Colonia']
v3_p08,414,Fournier,Buenos Aires,9 de Julio,704,flag_variante_bahra,E-bahra-fuzzy,Villa Fournier,confirmar_o_rechazar_candidato,,true,,,,georef/localidades,https://apis.datos.gob.ar/georef/api,BAJA (fuzzy en capa BAHRA: puede no ser el mismo lugar),antes era sin_match. candidatos: Villa Fournier/9 de Julio [06588120]
v3_p18,416,Ramón Otero,Buenos Aires,Balcarce,701,flag_variante,A (aparcado),Ramos Otero,confirmar_candidato_georef,06063040,,Ramos Otero,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
v5_p01,169,Capiovy,Misiones,Lib. Gral. San Martín,701,flag_variante,A (aparcado),Capioví,confirmar_candidato_georef,54077010,,Capioví,,,georef/,https://apis.datos.gob.ar/georef/api,media (nombre difiere),variante de nombre en el depto correcto
