provincia,departamento_crudo,departamento_canonico,clave_norm,status,motivo
San Luis,General Pedernera,General Pedernera,GENERALPEDERNERA,unico,
San Luis,Junín,Junín,JUNIN,unico,
San Luis,San Martín,San Martín,SANMARTIN,unico,
Santa Cruz,Deseado,Deseado,DESEADO,unico,
Santa Cruz,Corpen Aike,Corpen Aike,CORPENAIKE,flag-variante,cluster CORPENAIKE: Corpen Aike(1)/Corpen-Aike(1)
Santa Cruz,Corpen-Aike,Corpen Aike,CORPENAIKE,flag-variante,cluster CORPENAIKE: Corpen Aike(1)/Corpen-Aike(1)
Santa Cruz,Lago Argentino,Lago Argentino,LAGOARGENTINO,unico,
Santa Cruz,Güer Aike,Güer Aike,GUERAIKE,unico,
Santa Cruz,Río Chico,Río Chico,RIOCHICO,unico,
Santa Cruz,Lago Buenos Aires,Lago Buenos Aires,LAGOBUENOSAIRES,unico,
Santa Cruz,Magallanes,Magallanes,MAGALLANES,unico,
Santa Fe,General López,General López,GENERALLOPEZ,unico,
Santa Fe,Rosario,Rosario,ROSARIO,unico,
Santa Fe,Constitución,Constitución,CONSTITUCION,unico,
Santa Fe,Castellanos,Castellanos,CASTELLANOS,unico,
Santa Fe,San Lorenzo,San Lorenzo,SANLORENZO,unico,
Santa Fe,San Javier,San Javier,SANJAVIER,unico,
Santa Fe,La Capital,La Capital,LACAPITAL,unico,
Santa Fe,San Cristóbal,San Cristóbal,SANCRISTOBAL,unico,
Santa Fe,Iriondo,Iriondo,IRIONDO,unico,
Santa Fe,San Justo,San Justo,SANJUSTO,unico,
Santa Fe,Caseros,Caseros,CASEROS,unico,
Santa Fe,Belgrano,Belgrano,BELGRANO,unico,
Santa Fe,San Jerónimo,San Jerónimo,SANJERONIMO,unico,
Santa Fe,General Obligado,General Obligado,GENERALOBLIGADO,unico,
Santa Fe,Vera,Vera,VERA,unico,
Santa Fe,San Martín,San Martín,SANMARTIN,unico,
Santa Fe,Las Colonias,Las Colonias,LASCOLONIAS,unico,
Santa Fe,Garay,Garay,GARAY,unico,
Santa Fe,9 de Julio,9 de Julio,9DEJULIO,unico,
Santa Fe,Nueve de Julio,Nueve de Julio,NUEVEDEJULIO,unico,
Santiago del Estero,Banda,Banda,BANDA,unico,
Santiago del Estero,Moreno,Moreno,MORENO,unico,
Santiago del Estero,Alberdi,Alberdi,ALBERDI,unico,
Santiago del Estero,General Taboada,General Taboada,GENERALTABOADA,unico,
Santiago del Estero,Aguirre,Aguirre,AGUIRRE,unico,
Santiago del Estero,Silípica,Silípica,SILIPICA,unico,
Santiago del Estero,Ojo de Agua,Ojo de Agua,OJODEAGUA,unico,
Santiago del Estero,Belgrano,Belgrano,BELGRANO,unico,
Santiago del Estero,Figueroa,Figueroa,FIGUEROA,unico,
Santiago del Estero,Salavina,Salavina,SALAVINA,unico,
Santiago del Estero,Río Hondo,Río Hondo,RIOHONDO,unico,
Santiago del Estero,Quebrachos,Quebrachos,QUEBRACHOS,unico,
Santiago del Estero,Robles,Robles,ROBLES,unico,
Santiago del Estero,Jiménez,Jiménez,JIMENEZ,unico,
Santiago del Estero,San Martín,San Martín,SANMARTIN,unico,
Santiago del Estero,Capital,Capital,CAPITAL,unico,
Santiago del Estero,Avellaneda,Avellaneda,AVELLANEDA,unico,
Santiago del Estero,Choya,Choya,CHOYA,unico,
Santiago del Estero,Guasayán,Guasayán,GUASAYAN,unico,
Santiago del Estero,Copo,Copo,COPO,unico,
Santiago del Estero,Pellegrini,Pellegrini,PELLEGRINI,unico,
Santiago del Estero,Atamisqui,Atamisqui,ATAMISQUI,unico,
Santiago del Estero,Sarmiento,Sarmiento,SARMIENTO,unico,
Santiago del Estero,Mitre,Mitre,MITRE,unico,
Santiago del Estero,Matará,Matará,MATARA,unico,
Santiago del Estero,Rivadavia,Rivadavia,RIVADAVIA,unico,
Santiago del Estero,Loreto,Loreto,LORETO,unico,
Tierra del Fuego,San Sebastián,San Sebastián,SANSEBASTIAN,unico,
Tierra del Fuego,Ushuaia,Ushuaia,USHUAIA,unico,
Tucumán,Monteros,Monteros,MONTEROS,unico,
Tucumán,Leales,Leales,LEALES,unico,
Tucumán,Río Chico,Río Chico,RIOCHICO,unico,
Tucumán,Cruz Alta,Cruz Alta,CRUZALTA,unico,
Tucumán,Chicligasta,Chicligasta,CHICLIGASTA,unico,
Tucumán,Tafí,Tafí,TAFI,unico,
Tucumán,Famaillá,Famaillá,FAMAILLA,unico,
Tucumán,Burruyacú,Burruyacú,BURRUYACU,unico,
Tucumán,Trancas,Trancas,TRANCAS,unico,
Tucumán,Graneros,Graneros,GRANEROS,unico,
Tucumán,Capital,Capital,CAPITAL,unico,
