page,n_orden,localidad,provincia,depto_1960,poblacion,estado_flag_previo,criterio_deteccion,dist_km,candidato_georef,verificado_geo_previo,tipo_resolucion,propuesta,georef_id,lat,lon,fuente,fuente_url,verificado_geo,depto_del_punto,veredicto,motivo_veredicto,confianza,tipo_doc,ley_o_anio,fuente_url_cambio,decidido_por,estado_final,nota
v4_p07,572,Garabato,Santa Fe,General Obligado,525,flag_depto,depto_transferencia_o_homonimo,93,Garabato,rojo,transferencia_confirmada,Garabato,82133050,-28.95449,-60.13508,Georef + Wikipedia,https://es.wikipedia.org/wiki/Garabato_(Santa_Fe),rojo,Vera,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,https://es.wikipedia.org/wiki/Anexo:Departamentos_de_la_provincia_de_Santa_Fe,humano (Jose),transferencia_limite_declarado,"Georef confirma un unico Garabato en Santa Fe (id 82133050, depto Vera). Vera es limitrofe con General Obligado (depto_1960). Sin homonimo posible, es el mismo pueblo; reasignacion de depto respecto a 1960. || [3.3b-2] Igual que Golondrina (comuna vecina a 13 km): Vera (creado 1890 desde La Capital) y General Obligado (1890, desde San Javier) ya existian en 1960. No hay ley que transfiera Garabato; es un reajuste de limite en la zona de obrajes de La Forestal entre dos departamentos preexistentes. Sin norma citable tras revisar el anexo de departamentos de Santa Fe y fuentes provinciales. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v4_p18,578,Tartagal,Santa Fe,General Obligado,514,flag_depto,depto_transferencia_o_homonimo,93,Tartagal,rojo,transferencia_confirmada,Tartagal,82133150,-28.67105,-59.84809,Wikipedia + Georef,https://es.wikipedia.org/wiki/Tartagal_(Santa_Fe),rojo,Vera,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Existe un unico Tartagal en Santa Fe (comuna, hoy depto Vera segun Wikipedia y Georef 82133150). El censo 1960 lo asigno a General Obligado (depto vecino). Mismo pueblo; la asignacion departamental cambio (limite/reordenamiento). Coord de la comuna -28.671,-59.848. || [3.3b-2] Wikipedia y Georef ubican la comuna de Tartagal en el depto Vera. Vera y General Obligado son limitrofes y ambos preexistian al censo 1960. Tartagal esta cerca del limite entre ambos. No encontre acto legal unico y citable que reasigne Tartagal de General Obligado (censo 1960) a Vera; corresponde a un reajuste de limite entre departamentos ya existentes, sin norma de creacion por segregacion posterior a 1960. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v4_p08,601,Intiyaco,Santa Fe,General Obligado,479,flag_depto,depto_transferencia_o_homonimo,93,Intiyaco,rojo,transferencia_confirmada,Intiyaco,82133070,-28.674866,-60.070701,Georef + Wikipedia/senado Santa Fe,https://es.wikipedia.org/wiki/Intiyaco_(Santa_Fe),rojo,Vera,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Único Intiyaco de Santa Fe (surgido en 1892 con el ramal FC Vera-La Sabana en la Cuña Boscosa), hoy depto Vera, limítrofe de General Obligado. En 1960 se lo asignaba a Gral Obligado; reajuste de límites Vera/Gral Obligado. Mismo lugar, no homónimo. || [3.3b-2] Wikipedia (Intiyaco) solo confirma que hoy es comuna del depto Vera; no menciona cambio de departamento ni ley. Vera y General Obligado ya existian en 1960; los pueblos forestales de La Forestal (Intiyaco, Villa Guillermina, etc.) se extendian por Vera, 9 de Julio y Gral Obligado, y la asignacion censal de 1960 a Gral Obligado no responde a un acto legal unico identificable. Reajuste de limite sin norma citable. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v7_p09,266,San José,Catamarca,Tinogasta,477,flag_depto,depto_transferencia_o_homonimo,233,San José,rojo,manual_coord,San José (Tinogasta),,-27.9868939,-67.5938798,Nominatim/OpenStreetMap,"https://nominatim.openstreetmap.org/search?q=San+Jose,+Tinogasta,+Catamarca&format=json",verde,Tinogasta,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"San Jose es uno de los distritos/comunas del depto Tinogasta (turismo Catamarca); OSM ubica 'San Jose, Municipio de Tinogasta' en -27.987,-67.594. El candidato Georef San Jose/Fray Mamerto Esquiu (233 km) es homonimo cercano a la capital."
v3_p08,558,Enrique Lavalle,Buenos Aires,Hipólito Yrigoyen,457,flag_sin_match,web_manual_coord,,,rojo,manual_coord,Enrique Lavalle (estacion FC Midland),,-36.40887,-61.93402,OpenStreetMap/Nominatim + Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Enrique_Lavalle,rojo,Daireaux,aceptar,"Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",media,,,,humano (Jose),manual_coord_frontera,"Wikipedia: Estacion Enrique Lavalle (FC Midland) esta a ~28 km al NE de Daireaux, cerca del limite con el partido Hipolito Yrigoyen. OSM la ubica como paraje en partido Daireaux (-36.4089, -61.9340). En 1960 figuraba en Hipolito Yrigoyen; hoy cae del lado de Daireaux, sobre el borde. Mismo lugar. || [humano] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
v4_p12,621,Monte Cristo,Córdoba,Río Primero,439,flag_sin_match,web_manual_coord,,,rojo,manual_coord,Monte Cristo,,-31.343056,-63.944444,Wikipedia,https://es.wikipedia.org/wiki/Monte_Cristo_(C%C3%B3rdoba),rojo,Colón,aceptar,"Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",alta,,,,humano (Jose),manual_coord_frontera,"Wikipedia: Monte Cristo es localidad del depto Rio Primero (Cordoba), sobre RN19 a ~25 km de la capital. Coincide con depto 1960. Coord de Wikipedia (corrige el punto previo que caia en Colon). || [humano] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
v4_p14,622,Punta del Agua,Córdoba,Río Primero,437,flag_depto,depto_transferencia_o_homonimo,143,Punta del Agua,rojo,manual_coord,Punta de Agua (Río Primero),14105A39,-31.05170,-63.70070,Georef asentamientos + Nominatim,"https://nominatim.openstreetmap.org/search?q=Punta+del+Agua,+Rio+Primero,+Cordoba,+Argentina&format=json",verde,Río Primero,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"El candidato Punta del Agua/Tercero Arriba es homonimo. Georef asentamientos y Nominatim confirman 'Punta de Agua' en depto Rio Primero (Comuna de Esquina), que es el pueblo 1960. Georef asentamiento id 14105A39."
v4_p10,628,Las Tapias,Córdoba,Río Cuarto,424,flag_depto,depto_transferencia_o_homonimo,152,Las Tapias,rojo,manual_coord,"Las Tapias (Río Cuarto, pedanía San Bartolomé)",,-32.83587,-64.74979,OpenStreetMap/Nominatim + mindat,"https://nominatim.openstreetmap.org/search?q=Las+Tapias,+Rio+Cuarto,+Cordoba,+Argentina&format=json",verde,Río Cuarto,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"El candidato Las Tapias/San Javier (Traslasierra, Villa Dolores) es un homonimo. Nominatim y mindat ubican otra 'Las Tapias' en el depto Rio Cuarto (pedania San Bartolome, zona Alpa Corral) en -32.836,-64.750, que coincide con depto_1960. Esa es la Las Tapias censal 1960."
v4_p14,631,Punta de Agua,Córdoba,Río Cuarto,421,flag_depto,depto_transferencia_o_homonimo,274,Punta de Agua,rojo,manual_coord,"Punta del Agua (paraje, Pedanía Achiras)",,-33.202775,-65.142456,OpenStreetMap / Nominatim,https://nominatim.openstreetmap.org/lookup?osm_ids=N3559620393&format=json,verde,Río Cuarto,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"OSM/mapcarta: paraje 'Punta del Agua' de la Pedanía Achiras, depto Río Cuarto, Córdoba. Los candidatos Georef (Punta del Agua/Tercero Arriba y Punta de Agua/Río Primero) son homónimos de otros deptos. Posible confusión con una Estación Punta de Agua cercana a Adelia María (mismo depto); tomé el paraje mapeado como poblado."
v6_p06,194,Santo Domingo,Santiago del Estero,Ojo de Agua,410,flag_depto,depto_transferencia_o_homonimo,343,Santo Domingo,rojo,manual_coord,Santo Domingo (Ojo de Agua),,-29.2531302,-63.9284245,Nominatim/OpenStreetMap,"https://nominatim.openstreetmap.org/search?q=Santo+Domingo,+Ojo+de+Agua,+Santiago+del+Estero&format=json",verde,Ojo de Agua,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"OSM ubica 'Santo Domingo, Departamento Ojo de Agua' (sur de Sgo del Estero) en -29.253,-63.928, coincidente con el depto 1960. El candidato Georef Santo Domingo/Pellegrini (norte, -26.2, 343 km) es homonimo."
v5_p06,251,San Antonio,Corrientes,Paso de los Libres,350,flag_depto,depto_transferencia_o_homonimo,194,San Antonio,rojo,manual_coord,"San Antonio (paraje, depto Paso de los Libres)",,-29.76755,-57.54712,OpenStreetMap/Nominatim + Gobierno de Corrientes,https://nominatim.openstreetmap.org/search?q=San+Antonio+Paso+de+los+Libres+Corrientes+Argentina&format=json,verde,Paso de los Libres,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"OSM ubica San Antonio en el Municipio de Parada Pucheta, Departamento Paso de los Libres (coincide con 1960), como pequeño asentamiento rural (-29.7676, -57.5471); consistente con pob 350. El candidato San Antonio/Ituzaingó (194 km) es homonimo."
v4_p18,658,Tinoco,Córdoba,Río Primero,344,flag_depto,depto_transferencia_o_homonimo,69,Tinoco,rojo,transferencia_confirmada,Tinoco,14021270,-31.124469,-63.891831,Georef + Wikipedia,https://es.wikipedia.org/wiki/Tinoco,rojo,Colón,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",media,limite_no_documentada,,https://es.wikipedia.org/wiki/Departamento_Col%C3%B3n_(C%C3%B3rdoba),humano (Jose),transferencia_limite_declarado,"Wikipedia (y su desambiguacion) solo listan un Tinoco en Cordoba: comuna del depto Colon, nacida como estacion del FC Cordoba-Santa Rosa de Rio Primero, zona limitrofe con Rio Primero. Sin homonimo en Rio Primero; en 1960 (pob 344) figuraba en Rio Primero. Transferencia Rio Primero -> Colon. || [3.3b-2] El departamento Colon proviene del cambio de nombre del depto Anejos Norte por decreto del gobernador Pizarro (1892), no de una segregacion de Rio Primero; ambos departamentos ya existian en 1960. La unica modificacion de limites documentada de Colon es la ley 7769 de 1988 (pedania Sinsacate, ex Totoral), que no afecta a Tinoco ni a Rio Primero. Tinoco esta sobre el limite Colon-Rio Primero (estacion del FC Cordoba-Santa Rosa de Rio Primero); es un reajuste de limite sin acto legal unico citable. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p07,652,Energía,Buenos Aires,San Cayetano,343,flag_depto,depto_transferencia_o_homonimo,39,Energí­a,rojo,transferencia_confirmada,Energía,06581030,-38.55792,-59.34108,Georef + Wikipedia,https://es.wikipedia.org/wiki/Energ%C3%ADa_(Buenos_Aires),rojo,Necochea,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Pueblo unico (nombre distintivo). Wikipedia: hoy partido Necochea, 'justo en el limite con el partido de San Cayetano' (depto_1960). Mismo lugar; el partido San Cayetano se creo hacia 1961. Georef id 06581030. || [3.3b-2] El partido de San Cayetano se creo por Ley provincial 5921 (sancionada 24-10-1958, promulgada 04-11-1958) segregando tierras de Necochea, Tres Arroyos y Gonzalez Chaves. Energia esta hoy en el partido de Necochea, justo sobre el limite con San Cayetano. El censo 1960 la listo en San Cayetano (el partido nuevo) y hoy figura en Necochea (el partido madre), es decir un reajuste posterior de la demarcacion San Cayetano-Necochea. La ley 5921/1958 crea el partido pero NO documenta el paso especifico de Energia a Necochea; no hallé norma unica citable para ese ajuste de limite. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p23,709,Vuelta de Obligado,Buenos Aires,San Pedro,283,flag_sin_match,web_rename,,,rojo,rename,Obligado,06770020,-33.59681,-59.81769,Wikipedia + Georef,https://es.wikipedia.org/wiki/Obligado_(Buenos_Aires),verde,San Pedro,aceptar,guard=verde (coord en conjunto permitido),alta,,,,auto,,"Wikipedia: la localidad de Obligado (Vuelta de Obligado) esta a orillas del Parana, partido de San Pedro. Georef 'Obligado' (06770020) en San Pedro coincide con depto_1960. Mismo lugar, hoy registrado como 'Obligado'."
v5_p05,291,Miñones,Entre Ríos,Federación,204,flag_sin_match,web_manual_coord,,,rojo,manual_coord,Estación Miñones,,-30.6983,-58.5825,Wikipedia,https://es.wikipedia.org/wiki/Estaci%C3%B3n_Mi%C3%B1ones,rojo,Federal,aceptar,"Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)",alta,,,,humano (Jose),manual_coord_frontera,"Wikipedia: Estación Miñones, paraje del distrito Francisco Ramírez; hoy depto Federal (creado en 1980 por segregación de Federación). En 1960 pertenecía a Federación (depto contiguo); mismo lugar, cambio de depto. || [humano] Jose: aceptar (residuo chico, mismo lugar confirmado por fuente; guard rojo por borde/split)"
v3_p20,812,San José,Buenos Aires,Necochea,200,flag_depto,depto_transferencia_o_homonimo,252,San José,rojo,manual_coord,"San José (Estación, Necochea)",,-38.1751691,-59.005777,"Wikipedia (Estación San José, Roca)",https://es.wikipedia.org/wiki/Estaci%C3%B3n_San_Jos%C3%A9_(Roca),verde,Necochea,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"Wikipedia: Estacion San Jose (FC Roca, ramal Barrow-Loberia) ubicada en el Partido de Necochea, coord -38.175,-59.006. Pequeno paraje ferroviario, coincide con depto 1960 y pob 200. El candidato Georef San Jose/Coronel Suarez (252 km) es homonimo."
v6_p06,267,San Pedro,Santiago del Estero,Matará,175,flag_depto,depto_transferencia_o_homonimo,187,San Pedro,rojo,manual_coord,"San Pedro (paraje, depto Juan Felipe Ibarra ex-Matará)",,-28.31159,-62.25472,OpenStreetMap/Nominatim,https://nominatim.openstreetmap.org/search?q=San+Pedro+Juan+Felipe+Ibarra+Santiago+del+Estero+Argentina&format=json,verde,Juan Felipe Ibarra,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"OSM ubica un hamlet 'San Pedro' en el Departamento Juan Felipe Ibarra (antiguo Matará; coincide con 1960) en -28.3116, -62.2547. Ninguno de los 4 San Pedro de Georef en Santiago del Estero esta en ese depto (Capital, Choya, Guasayan, Jimenez son homonimos); el candidato San Pedro/Capital es homonimo."
v3_p02,871,Arroyo Dulce,Buenos Aires,Pergamino,147,flag_depto,depto_transferencia_o_homonimo,53,Arroyo Dulce,rojo,transferencia_confirmada,Arroyo Dulce,06714010,-34.102433,-60.406155,Georef + Wikipedia,https://es.wikipedia.org/wiki/Arroyo_Dulce,rojo,Salto,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Wikipedia: Arroyo Dulce esta a medio camino entre Salto y Pergamino; hoy pertenece al partido de Salto pero Pergamino lo reclama y forma conurbano con Villa San Jose (Pergamino). Mismo pueblo; en 1960 (pob 147) se censo en Pergamino. Transferencia Pergamino -> Salto. || [3.3b-2] Wikipedia (Arroyo Dulce) describe una disputa vigente: la localidad esta clasificada en el partido de Salto pero Pergamino la reclama, sin base legal, decreto ni fecha de cambio; esta a medio camino entre ambas ciudades. No existe un acto administrativo unico que transfiera Arroyo Dulce de Pergamino a Salto; ambos partidos son de mediados del siglo XIX (Salto, Ley 422 de 1854). Es un limite en conflicto, no documentado. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v3_p17,873,Pasteur,Buenos Aires,General Pinto,147,flag_depto,depto_transferencia_o_homonimo,55,Pasteur,rojo,transferencia_confirmada,Pasteur,06469080,-35.14129,-62.24397,Georef + Wikipedia,https://es.wikipedia.org/wiki/Pasteur_(Buenos_Aires),rojo,Lincoln,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,https://es.wikipedia.org/wiki/Partido_de_Lincoln,humano (Jose),transferencia_limite_declarado,"Wikipedia: Pasteur es localidad del partido de Lincoln, limitrofe con General Pinto (depto_1960). Pueblo unico, mismo lugar; reasignacion de partido. Georef id 06469080; coord coincide con candidato. || [3.3b-2] El partido de Lincoln fue creado por ley 5032 de 1865 y General Pinto en 1891; ambos ya existian en 1960. No se halla ley ni decreto que transfiera Pasteur de General Pinto a Lincoln (la ley 11071, que aparece en la busqueda, crea el partido Florentino Ameghino desde General Pinto y no menciona a Pasteur). Es un reajuste de limite o posible artefacto del censo, sin norma citable tras revisar normas.gba.gob.ar y Wikipedia de ambos partidos. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
v7_p10,413,Santa Victoria,Salta,Rivadavia,126,flag_depto,depto_transferencia_o_homonimo,246,Santa Victoria,rojo,rename,Santa Victoria Este,66133100,-22.27273,-62.71258,Wikipedia + Georef,https://es.wikipedia.org/wiki/Santa_Victoria_Este,verde,Rivadavia,aceptar,guard=verde (coord en conjunto permitido),media,,,,auto,,"Wikipedia: Santa Victoria Este pertenece al depto Rivadavia (Salta), que coincide exacto con depto_1960. El candidato Santa Victoria/Santa Victoria (66161070, extremo NO, 246 km) es un homonimo. El unico 'Santa Victoria*' en Rivadavia es Santa Victoria Este (66133100); es el registro censal correcto."
v3_p03,909,Calderón,Buenos Aires,Bahía Blanca,105,flag_depto,depto_transferencia_o_homonimo,41,Calderón,rojo,transferencia_confirmada,Calderón,06182070,-38.722079,-62.056792,Wikipedia + Georef (candidato),https://es.wikipedia.org/wiki/Calder%C3%B3n_(Buenos_Aires),rojo,Coronel de Marina Leonardo Rosales,aceptar,"Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)",alta,limite_no_documentada,,,humano (Jose),transferencia_limite_declarado,"Wikipedia: única Calderón (estación FC 1909), hoy partido Coronel Rosales, emplazada junto al límite con Bahía Blanca (a ~17 km). En 1960 el censo la listó bajo Bahía Blanca; mismo lugar limítrofe, no homónimo. Candidato Georef Calderón/Coronel Rosales coincide. || [3.3b-2] El partido Coronel de Marina Leonardo Rosales se creo el 12-05-1945 segregandose de Bahia Blanca (autonomia de Punta Alta). Como ya existia en 1960, su creacion no documenta el cambio: Calderon (estacion FC) aparece en el censo 1960 bajo Bahia Blanca y hoy en Coronel Rosales, lo que implica un reajuste del limite entre ambos partidos posterior a 1945/1960 o un artefacto de asignacion del censo. No encontre acto legal unico y citable que traslade Calderon de Bahia Blanca a Coronel Rosales; es reajuste de limite entre partidos preexistentes. || [humano] Jose ratifico bloque limite declarado (README 3.1b: reasignacion entre deptos preexistentes, sin ley citable; identidad solida)"
